Producto,Modelo,MAE,RMSE,MAPE,R²,Tiempo (s)
CT_01,EXPONENTIAL_SMOOTHING,187.05873407355074,249.620411811421,20.854370470964987,0.660406595970592,0.5431647300720215
CP_09,SARIMA,127.3519214636097,147.0740603600265,20.848775240313415,0.6752154061066775,14.594240665435791
CP_09,EXPONENTIAL_SMOOTHING,189.65314619757248,211.5456010887885,34.833083215306246,0.3280588264923864,0.6087133884429932
CP_09,XGBOOST,80.86511876032903,106.5794364266754,11.69298795614951,0.829442785572501,0.4101681709289551
CP_09,LIGHTGBM,88.45447447117036,114.42387646990892,13.574662860888587,0.8034121970330367,0.06942915916442871
CP_13,SARIMA,76.56412681005226,97.02571134457828,19.38043234387887,0.6722232027297931,30.017045259475708
CP_13,EXPONENTIAL_SMOOTHING,90.69165415196832,108.38774452807577,24.210927676831854,0.5909608337139955,0.43598055839538574
CP_13,XGBOOST,69.0442387507512,87.5550436758039,16.123063667309914,0.7330887528765908,0.3304927349090576
CP_13,LIGHTGBM,57.31045497226163,77.57923167313902,13.237059935710091,0.7904462269660222,0.06672906875610352
CP_04,SARIMA,37.90373390764899,49.194222733065686,23.881740782083035,0.6886357575516435,30.880749702453613
CP_04,EXPONENTIAL_SMOOTHING,42.536880473930424,53.700516658117294,26.782826876243014,0.628979883016376,0.8370909690856934
CP_04,XGBOOST,65.57373824486366,83.40155912425446,44.58535097251525,0.10507040807632784,1.0596415996551514
CP_04,LIGHTGBM,35.84378256001271,44.07144706357261,19.404009199116608,0.7501063900070619,0.19592905044555664
CP_11,SARIMA,25.97232250682473,34.115912148271576,13.196582350878852,0.7901973264158476,40.17919707298279
CP_11,EXPONENTIAL_SMOOTHING,32.00312369697009,40.992743301417015,19.015106211724234,0.6970918145046292,0.8710739612579346
CP_11,XGBOOST,32.42684731116662,40.403118854957526,18.470224700482646,0.7057429846327201,0.9665577411651611
CP_11,LIGHTGBM,24.8036030255626,31.81173370557582,13.089807082841286,0.8175803071494985,0.2997872829437256
CP_01,SARIMA,33.07821913051999,42.09233491429541,20.519420611052073,0.6693030536412012,42.78258180618286
CP_01,EXPONENTIAL_SMOOTHING,41.40035096905126,48.042504482031816,26.424451312338082,0.5692002636964303,0.606999397277832
CP_01,XGBOOST,28.532929053673378,36.35182097989781,16.821258296096644,0.7533526282453984,0.3958089351654053
CP_01,LIGHTGBM,31.218053769209178,39.999837003566114,17.923215988654466,0.7013650772186262,0.08954262733459473
CP_14,SARIMA,18.61223803215322,23.54266527883822,18.07987734694002,0.782805650240062,13.942759990692139
CP_14,EXPONENTIAL_SMOOTHING,27.653012939043283,32.669969910497834,30.04938842755199,0.5817511688353627,0.5234498977661133
CP_14,XGBOOST,13.421633940476637,17.094452828256667,12.694365047332465,0.8854888766057445,0.31490373611450195
CP_14,LIGHTGBM,13.575089855569736,18.094536078397788,12.181268322642175,0.8716983703729296,0.07397055625915527
CP_10,SARIMA,15.84970618930497,22.837137673709858,16.40394725876423,0.7795920127068601,19.557559490203857
CP_10,EXPONENTIAL_SMOOTHING,19.787011017134283,26.939404618529103,23.2335603563768,0.6932956221106203,0.7599942684173584
CP_10,XGBOOST,16.316310002253605,22.72915493360118,14.805282669842363,0.7816714317984247,1.2771329879760742
CP_10,LIGHTGBM,18.71433967680594,24.213720727714428,18.09913862645775,0.7522195445768425,0.15993475914001465
MECO_01,SARIMA,13.799059071303038,17.454575732500963,16.113658076750838,0.8224356837474439,31.480318069458008
MECO_01,EXPONENTIAL_SMOOTHING,16.487045293180255,21.17208896457139,23.048766726672838,0.7387450546885171,0.7828242778778076
MECO_01,XGBOOST,15.169731506934532,20.38147200742008,17.653095287580868,0.7578925279356067,0.36798834800720215
MECO_01,LIGHTGBM,13.962483569390985,19.40963953934419,15.970342175388955,0.7804304864451864,0.12734365463256836
CP_12,SARIMA,15.93761095174389,20.60465791628052,25.679148741764763,0.6539414260114087,12.127789974212646
CP_12,EXPONENTIAL_SMOOTHING,21.532353692426877,25.521443153935962,39.21510783525601,0.46907979442963155,0.4495275020599365
CP_12,XGBOOST,12.54099779862624,16.10688260028178,17.862055159360917,0.7885333998619373,0.3725755214691162
CP_12,LIGHTGBM,14.407689592125731,18.70669762223849,21.427210557479487,0.7147582783127756,0.09998679161071777
CP_03,SARIMA,10.711050852023439,15.431633376054466,16.360138696352706,0.7796325504394055,16.130339860916138
CP_03,EXPONENTIAL_SMOOTHING,13.228652555627841,16.042057688423426,25.88314462964828,0.7618537214740839,0.4568350315093994
CP_03,XGBOOST,14.110731234917274,18.730021324369105,27.428207471532506,0.6753613711663705,0.2727034091949463
CP_03,LIGHTGBM,12.575456506375405,15.652951369887097,19.93833651940857,0.7732662746771708,0.07475829124450684
CR_01,SARIMA,13.605047855624793,16.880833449538365,24.61607778351425,0.7089366493549717,11.587813138961792
CR_01,EXPONENTIAL_SMOOTHING,17.904450083911268,20.623537460183726,27.53231533960434,0.5655637320822544,0.40566134452819824
CR_01,XGBOOST,13.546490852649395,16.574608634236903,19.84301799310898,0.7194008704920261,0.23377776145935059
CR_01,LIGHTGBM,14.007402057172293,16.71173018336099,22.066002975405905,0.7147388788029173,0.06493639945983887
CP_08,SARIMA,10.16726426037997,13.000453847193294,17.049006822932242,0.8013011688115016,11.271056890487671
CP_08,EXPONENTIAL_SMOOTHING,10.476865785462564,13.635550252751006,20.951223920889685,0.7814133565042803,0.6254215240478516
CP_08,XGBOOST,12.093985044039213,16.72081929020938,27.633977991338078,0.6713047778295479,0.313366174697876
CP_08,LIGHTGBM,9.715507285496646,12.147260816473008,16.827309861791573,0.8265257583539635,0.08676743507385254
CP_05,SARIMA,20.253279959083496,23.40069878651189,48.96359415812107,0.42099725383650977,40.71603608131409
CP_05,EXPONENTIAL_SMOOTHING,20.385409565274713,23.49767592488981,49.321050514191235,0.41618830531918716,0.5173904895782471
CP_05,XGBOOST,12.83767028955313,17.44730505271804,24.423400110177955,0.678130608020675,0.25195980072021484
CP_05,LIGHTGBM,13.195358464048619,17.475070173280535,24.610137001521277,0.6771053662106314,0.0740060806274414
CR_03,SARIMA,10.325106816246565,13.174849007625745,20.50797279255437,0.8151993814424272,22.786320686340332
CR_03,EXPONENTIAL_SMOOTHING,10.57332981829339,14.392756206878744,27.255025685881236,0.7794535530771599,0.45405006408691406
CR_03,XGBOOST,9.74740956379817,13.488845486490575,19.279096555713988,0.8062856975223514,0.24013996124267578
CR_03,LIGHTGBM,8.914615765734492,12.458752512206875,17.69345300168913,0.8347424746995777,0.0744791030883789
CR_02,SARIMA,8.751585392280989,10.708938828941166,39.29277895531173,0.7285885599131949,11.672774076461792
CR_02,EXPONENTIAL_SMOOTHING,10.640258001809483,12.783430908176634,59.46464850000015,0.6132501706371105,0.43150830268859863
CR_02,XGBOOST,7.029848337173462,8.904528518702156,31.926236843583215,0.8123462999180882,0.383375883102417
CR_02,LIGHTGBM,6.552630144521974,8.480408871786969,28.89632396444381,0.8297963547475141,0.08925318717956543
CP_02,EXPONENTIAL_SMOOTHING,7.245754268293909,9.241005867547376,38.062062403890934,0.7733541781112485,0.502281665802002
CP_02,XGBOOST,6.898087574885442,8.446214894380091,32.999447617817175,0.8106638773309338,0.3419320583343506
CP_02,LIGHTGBM,6.869798208770347,9.07252835958945,32.30744124158688,0.781543035728254,0.09344792366027832
MZ_01,SARIMA,8.932024463067261,11.675812497604417,34.21974752262841,0.7322329976269958,70.5035879611969
MZ_01,EXPONENTIAL_SMOOTHING,8.983248567328694,11.126920631396697,43.004658886627,0.75681722321639,0.45786285400390625
MZ_01,XGBOOST,7.936131403996394,10.618743138792423,29.297117692732815,0.7785227798388634,0.5604264736175537
MZ_01,LIGHTGBM,8.08494170184111,10.833936975900208,30.463445111904846,0.7694551408922152,0.11435437202453613
CP_06,SARIMA,5.941339155765177,7.4052111318389215,87.9223943539963,0.8277724440423759,32.50770306587219
