Código;Descripción;Fecha;Documento;Número;Bodega;Entrada;Salida;Saldo;Valor Unitario;Entrada.1;Salida.1;Saldo.1;Costo Unitario;Empresa_Cliente;Canal_Venta;Punto_Venta
'2;PLANCHA GALVANIZADA F°G° 0.75 (1200x2400mm);2021-08-02;Entrada por Compra -;96.0;Almacen Central;30.0;0.0;3060.0;69.491521;2084.75;0.0;189631.37;61.971029;;;
'2;PLANCHA GALVANIZADA F°G° 0.75 (1200x2400mm);2021-08-03;Entrada por Compra -;97.0;Almacen Central;25.0;0.0;3085.0;69.491525;1737.29;0.0;191368.66;62.031973;;;
'2;PLANCHA GALVANIZADA F°G° 0.75 (1200x2400mm);2021-08-05;Entrada por Compra -;98.0;Almacen Central;45.0;0.0;3130.0;69.491525;3127.12;0.0;194495.78;62.139219;;;
'2;PLANCHA GALVANIZADA F°G° 0.75 (1200x2400mm);2021-08-09;Entrada por Compra -;100.0;Almacen Central;100.0;0.0;3230.0;69.491525;6949.15;0.0;201444.93;62.366843;;;
'2;PLANCHA GALVANIZADA F°G° 0.75 (1200x2400mm);2021-08-12;Entrada por Compra -;101.0;Almacen Central;100.0;0.0;3330.0;71.18644;7118.64;0.0;208563.57;62.631694;;;
'2;PLANCHA GALVANIZADA F°G° 0.75 (1200x2400mm);2021-08-17;Entrada por Compra -;104.0;Almacen Central;100.0;0.0;3430.0;72.457627;7245.76;0.0;215809.33;62.918163;;;
'2;PLANCHA GALVANIZADA F°G° 0.75 (1200x2400mm);2021-08-20;Entrada por Compra -;105.0;Almacen Central;100.0;0.0;3530.0;72.457627;7245.76;0.0;223055.09;63.188402;;;
'2;PLANCHA GALVANIZADA F°G° 0.75 (1200x2400mm);2021-09-01;Entrada por Compra -;108.0;Almacen Central;100.0;0.0;3630.0;72.457627;7245.76;0.0;230300.85;63.443751;;;
'2;PLANCHA GALVANIZADA F°G° 0.75 (1200x2400mm);2021-09-09;Entrada por Compra -;110.0;Almacen Central;100.0;0.0;3730.0;72.457627;7245.76;0.0;237546.61;63.685409;;;
'2;PLANCHA GALVANIZADA F°G° 0.75 (1200x2400mm);2021-09-30;Entrada por Compra -;111.0;Almacen Central;100.0;0.0;3830.0;75.847457;7584.75;0.0;245131.36;64.002957;;;
'2;PLANCHA GALVANIZADA F°G° 0.75 (1200x2400mm);2021-09-30;Entrada por Compra -;112.0;Almacen Central;100.0;0.0;3930.0;75.847457;7584.75;0.0;252716.11;64.304344;;;
'2;PLANCHA GALVANIZADA F°G° 0.75 (1200x2400mm);2021-09-30;Entrada por Compra -;115.0;Almacen Central;100.0;0.0;4030.0;75.847457;7584.75;0.0;260300.86;64.590774;;;
'2;PLANCHA GALVANIZADA F°G° 0.75 (1200x2400mm);2021-09-30;Entrada por Compra -;116.0;Almacen Central;100.0;0.0;4130.0;75.847457;7584.75;0.0;267885.61;64.863333;;;
'2;PLANCHA GALVANIZADA F°G° 0.75 (1200x2400mm);2021-09-30;Ajuste de Salida;11.0;Almacen Central;0.0;4130.0;0.0;0.0;0.0;267886.0;-0.39;64.863333;DRAGON;Presencial;Sector A
'2;PLANCHA GALVANIZADA F°G° 0.75 (1200x2400mm);2021-10-06;Entrada por Compra -;161.0;Almacen Central;100.0;0.0;100.0;77.033898;7703.39;0.0;7703.0;77.0339;;;
'2;PLANCHA GALVANIZADA F°G° 0.75 (1200x2400mm);2021-10-12;Entrada por Compra -;162.0;Almacen Central;45.0;0.0;145.0;77.033898;3466.53;0.0;11169.53;77.033931;;;
'2;PLANCHA GALVANIZADA F°G° 0.75 (1200x2400mm);2021-10-12;Entrada por Compra -;163.0;Almacen Central;45.0;0.0;190.0;77.033898;3466.53;0.0;14636.06;77.033947;;;
'2;PLANCHA GALVANIZADA F°G° 0.75 (1200x2400mm);2021-10-26;Entrada por Compra -;166.0;Almacen Central;100.0;0.0;290.0;82.288135;8228.81;0.0;22864.87;78.845723;;;
'2;PLANCHA GALVANIZADA F°G° 0.75 (1200x2400mm);2021-10-26;Entrada por Compra -;167.0;Almacen Central;100.0;0.0;390.0;82.288135;8228.81;0.0;31093.68;79.728383;;;
'2;PLANCHA GALVANIZADA F°G° 0.75 (1200x2400mm);2021-11-02;Entrada por Compra -;168.0;Almacen Central;80.0;0.0;470.0;82.288135;6583.05;0.0;37676.73;80.164083;;;
'2;PLANCHA GALVANIZADA F°G° 0.75 (1200x2400mm);2021-11-17;Entrada por Compra -;172.0;Almacen Central;100.0;0.0;570.0;86.355932;8635.59;0.0;46312.32;81.250366;;;
'2;PLANCHA GALVANIZADA F°G° 0.75 (1200x2400mm);2021-11-23;Entrada por Compra -;173.0;Almacen Central;100.0;0.0;670.0;86.355932;8635.59;0.0;54947.91;82.012386;;;
'2;PLANCHA GALVANIZADA F°G° 0.75 (1200x2400mm);2021-11-24;Entrada por Compra -;174.0;Almacen Central;100.0;0.0;770.0;86.355932;8635.59;0.0;63583.5;82.576478;;;
'2;PLANCHA GALVANIZADA F°G° 0.75 (1200x2400mm);2021-12-01;Entrada por Compra -;175.0;Almacen Central;100.0;0.0;870.0;86.355932;8635.59;0.0;72219.09;83.010894;;;
'2;PLANCHA GALVANIZADA F°G° 0.75 (1200x2400mm);2021-12-01;Entrada por Compra -;176.0;Almacen Central;100.0;0.0;970.0;86.355932;8635.59;0.0;80854.68;83.355739;;;
'2;PLANCHA GALVANIZADA F°G° 0.75 (1200x2400mm);2021-12-15;Entrada por Compra -;182.0;Almacen Central;100.0;0.0;1070.0;86.355932;8635.59;0.0;89490.27;83.636127;;;
'2;PLANCHA GALVANIZADA F°G° 0.75 (1200x2400mm);2021-12-28;Entrada por Compra -;185.0;Almacen Central;100.0;0.0;1170.0;86.355932;8635.59;0.0;98125.86;83.868586;;;
'20;BOLSA DE POLIETILENO 16X18MM;;Saldo Anterior;;;;0.0;0.0;;;;0.0;0.0;;;
'20;BOLSA DE POLIETILENO 16X18MM;2021-03-01;Entrada por Compra -;53.0;Almacen Central;66.2;0.0;66.2;8.832;584.68;0.0;584.68;8.832;;;
