Periodo del;01/01/2021 al 31/12/2021;;;;;;;;;;;;
Código;Descripción;Fecha;Documento;Número;Bodega;Entrada;Salida;Saldo;Valor Unitario;Entrada;Salida;Saldo;Costo Unitario
"(Automático)";"CAJA DE PASE 200X200X75MM (F.G.1.50)";;Saldo Anterior;;;;;0;;;;0.00;0
"(Automático)";"CAJA DE PASE 200X200X75MM (F.G.1.50)";01/01/2021;Apertura;58;Almacen Central;135;0;135;1;135.00;0.00;135.00;1
"(Automático)";"CAJA DE PASE 200X200X75MM (F.G.1.50)";22/03/2021;Guía de remisión - R;164;Almacen Central;0;135;0;0;0.00;135.00;0.00;1
"'1";"PLANCHA GALVANIZADA F°G° 1.45 (1200x2400mm)";;Saldo Anterior;;;;;0;;;;0.00;0
"'10";"AUTORROSCANTES 8X3/8";;Saldo Anterior;;;;;0;;;;0.00;0
"'10";"AUTORROSCANTES 8X3/8";08/01/2021;Entrada por Compra -;67;Almacen Central;4;0;4;14.40678;57.63;0.00;57.63;14.40678
"'10";"AUTORROSCANTES 8X3/8";13/01/2021;Entrada por Compra -;10;Almacen Central;7;0;11;14.40677;100.85;0.00;158.48;14.40701
"'10";"AUTORROSCANTES 8X3/8";06/02/2021;Entrada por Compra -;22;Almacen Central;6;0;17;15.084746;90.51;0.00;248.99;14.6463
"'10";"AUTORROSCANTES 8X3/8";23/04/2021;Entrada por Compra -;70;Almacen Central;12;0;29;13.98305;167.80;0.00;416.79;14.371968
"'11";"PEGAMENTO DE 1/4  AZUL";;Saldo Anterior;;;;;0;;;;0.00;0
"'11";"PEGAMENTO DE 1/4  AZUL";01/01/2021;Apertura;10;Almacen Central;50;0;50;1;50.00;0.00;50.00;1
"'11";"PEGAMENTO DE 1/4  AZUL";01/01/2021;Guía de remisión - R;5;Almacen Central;0;50;0;0;0.00;50.00;0.00;1
"'11";"PEGAMENTO DE 1/4  AZUL";07/01/2021;Entrada por Compra -;6;Almacen Central;50;0;50;24.57627;1228.81;0.00;1228.81;24.5762
"'12";"MATRIZ DE 4x4x2: 2PUNZONES DE 3/4, 1 CUCHILLA,2BOCINAS CON TTO, 2 GUIAS CON TTO, 1 BASE 3/4, 2 ESQUI";;Saldo Anterior;;;;;0;;;;0.00;0
"'12";"MATRIZ DE 4x4x2: 2PUNZONES DE 3/4, 1 CUCHILLA,2BOCINAS CON TTO, 2 GUIAS CON TTO, 1 BASE 3/4, 2 ESQUI";05/01/2021;Entrada por Compra -;4;Almacen Central;1;0;1;2500;2500.00;0.00;2500.00;2500
"'13";"GUANTE DE POLIESTER";;Saldo Anterior;;;;;0;;;;0.00;0
"'13";"GUANTE DE POLIESTER";08/01/2021;Entrada por Compra -;15;Almacen Central;12;0;12;2.118644;25.42;0.00;25.42;2.118488
"'13";"GUANTE DE POLIESTER";27/03/2021;Entrada por Compra -;43;Almacen Central;12;0;24;2.12;25.44;0.00;50.86;2.119496
"'13";"GUANTE DE POLIESTER";31/03/2021;Entrada por Compra -;46;Almacen Central;12;0;36;2.542373;30.51;0.00;81.37;2.330997
"'14";"GUANTE NITRON CLUTE";;Saldo Anterior;;;;;0;;;;0.00;0
"'14";"GUANTE NITRON CLUTE";08/01/2021;Entrada por Compra -;15;Almacen Central;12;0;12;4.590396;55.08;0.00;55.08;4.590198
"'14";"GUANTE NITRON CLUTE";27/03/2021;Entrada por Compra -;43;Almacen Central;12;0;24;4.8;57.60;0.00;112.68;4.730066
"'14";"GUANTE NITRON CLUTE";31/03/2021;Entrada por Compra -;46;Almacen Central;12;0;36;5.932203;71.19;0.00;183.87;5.331282
"'15";"MATRIZ DE CAJA OCT 3/4, 1PUNZON DE 3/4, 1CIZALLA,2 GUIAS, 2 BOCINAS TTO";;Saldo Anterior;;;;;0;;;;0.00;0
"'15";"MATRIZ DE CAJA OCT 3/4, 1PUNZON DE 3/4, 1CIZALLA,2 GUIAS, 2 BOCINAS TTO";01/03/2021;Entrada por Compra -;48;Almacen Central;1;0;1;4500;4500.00;0.00;4500.00;4500
"'16";"MATRIZ DE OCT PROGRESIVA CORTE Y OREJAS COTE Y CIZALLA, 2 GUIAS 2 BOCINAS TTO";;Saldo Anterior;;;;;0;;;;0.00;0
"'16";"MATRIZ DE OCT PROGRESIVA CORTE Y OREJAS COTE Y CIZALLA, 2 GUIAS 2 BOCINAS TTO";01/03/2021;Entrada por Compra -;47;Almacen Central;1;0;1;6000;6000.00;0.00;6000.00;6000
"'17";"PLUMON FAB 23 NEGRO";;Saldo Anterior;;;;;0;;;;0.00;0
"'17";"PLUMON FAB 23 NEGRO";25/01/2021;Entrada por Compra -;13;Almacen Central;24;0;24;1.94209;46.61;0.00;46.61;1.942086
"'18";"PLUMON FAB 23 VERDE";;Saldo Anterior;;;;;0;;;;0.00;0
"'18";"PLUMON FAB 23 VERDE";25/01/2021;Entrada por Compra -;13;Almacen Central;24;0;24;1.94209;46.61;0.00;46.61;1.942086
"'19";"STRECH FILM 20X3KG";;Saldo Anterior;;;;;0;;;;0.00;0
"'19";"STRECH FILM 20X3KG";27/01/2021;Entrada por Compra -;31;Almacen Central;4;0;4;22.24576;88.98;0.00;88.98;22.24538
"'19";"STRECH FILM 20X3KG";02/02/2021;Entrada por Compra -;32;Almacen Central;4;0;8;20.127118;80.51;0.00;169.49;20.83346
"'19";"STRECH FILM 20X3KG";06/03/2021;Entrada por Compra -;33;Almacen Central;4;0;12;20.127119;80.51;0.00;250.00;20.48048
"'19";"STRECH FILM 20X3KG";25/03/2021;Entrada por Compra -;41;Almacen Central;4;0;16;20.127118;80.51;0.00;330.51;20.339288
"'19";"STRECH FILM 20X3KG";21/04/2021;Entrada por Compra -;64;Almacen Central;4;0;20;22.245762;88.98;0.00;419.49;20.72043
"'2";"PLANCHA GALVANIZADA F°G° 0.75 (1200x2400mm)";;Saldo Anterior;;;;;0;;;;0.00;0
"'2";"PLANCHA GALVANIZADA F°G° 0.75 (1200x2400mm)";05/01/2021;Entrada por Compra -;5;Almacen Central;100;0;100;58.898306;5889.83;0.00;5889.83;58.898303
"'2";"PLANCHA GALVANIZADA F°G° 0.75 (1200x2400mm)";14/01/2021;Entrada por Compra -;190;Almacen Central;100;0;200;58.8983;5889.83;0.00;11779.66;58.898301
"'2";"PLANCHA GALVANIZADA F°G° 0.75 (1200x2400mm)";21/01/2021;Entrada por Compra -;12;Almacen Central;150;0;350;58.898305;8834.75;0.00;20614.41;58.898314
"'2";"PLANCHA GALVANIZADA F°G° 0.75 (1200x2400mm)";01/02/2021;Entrada por Compra -;191;Almacen Central;100;0;450;59.322;5932.20;0.00;26546.61;58.992466
"'2";"PLANCHA GALVANIZADA F°G° 0.75 (1200x2400mm)";06/02/2021;Entrada por Compra -;21;Almacen Central;150;0;600;59.322034;8898.31;0.00;35444.92;59.074866
"'2";"PLANCHA GALVANIZADA F°G° 0.75 (1200x2400mm)";12/02/2021;Entrada por Compra -;24;Almacen Central;100;0;700;59.322003;5932.20;0.00;41377.12;59.11017
"'2";"PLANCHA GALVANIZADA F°G° 0.75 (1200x2400mm)";03/03/2021;Entrada por Compra -;28;Almacen Central;100;0;800;59.7457;5974.57;0.00;47351.69;59.189611
"'2";"PLANCHA GALVANIZADA F°G° 0.75 (1200x2400mm)";08/03/2021;Entrada por Compra -;34;Almacen Central;100;0;900;59.745763;5974.58;0.00;53326.27;59.251409
"'2";"PLANCHA GALVANIZADA F°G° 0.75 (1200x2400mm)";08/03/2021;Entrada por Compra -;35;Almacen Central;50;0;950;59.745763;2987.29;0.00;56313.56;59.277429
"'2";"PLANCHA GALVANIZADA F°G° 0.75 (1200x2400mm)";11/03/2021;Entrada por Compra -;36;Almacen Central;60;0;1010;60.169492;3610.17;0.00;59923.73;59.330423
"'2";"PLANCHA GALVANIZADA F°G° 0.75 (1200x2400mm)";17/03/2021;Entrada por Compra -;38;Almacen Central;100;0;1110;60.169449;6016.94;0.00;65940.67;59.406006
"'2";"PLANCHA GALVANIZADA F°G° 0.75 (1200x2400mm)";24/03/2021;Entrada por Compra -;40;Almacen Central;125;0;1235;60.593221;7574.15;0.00;73514.82;59.526167
"'2";"PLANCHA GALVANIZADA F°G° 0.75 (1200x2400mm)";06/04/2021;Entrada por Compra -;57;Almacen Central;126;0;1361;60.59322;7634.75;0.00;81149.57;59.624956
"'2";"PLANCHA GALVANIZADA F°G° 0.75 (1200x2400mm)";07/04/2021;Entrada por Compra -;60;Almacen Central;200;0;1561;60.59322;12118.64;0.00;93268.21;59.74901
"'2";"PLANCHA GALVANIZADA F°G° 0.75 (1200x2400mm)";09/04/2021;Entrada por Compra -;61;Almacen Central;189;0;1750;60.59322;11452.12;0.00;104720.33;59.840185
"'2";"PLANCHA GALVANIZADA F°G° 0.75 (1200x2400mm)";26/04/2021;Entrada por Compra -;65;Almacen Central;200;0;1950;61.440677;12288.14;0.00;117008.47;60.00434
"'2";"PLANCHA GALVANIZADA F°G° 0.75 (1200x2400mm)";03/05/2021;Entrada por Compra -;78;Almacen Central;200;0;2150;63.13559;12627.12;0.00;129635.59;60.29562
"'2";"PLANCHA GALVANIZADA F°G° 0.75 (1200x2400mm)";26/05/2021;Entrada por Compra -;82;Almacen Central;150;0;2300;63.559322;9533.90;0.00;139169.49;60.50847
"'2";"PLANCHA GALVANIZADA F°G° 0.75 (1200x2400mm)";01/06/2021;Entrada por Compra -;83;Almacen Central;150;0;2450;63.559322;9533.90;0.00;148703.39;60.695257
"'2";"PLANCHA GALVANIZADA F°G° 0.75 (1200x2400mm)";19/06/2021;Entrada por Compra -;86;Almacen Central;100;0;2550;66.9491;6694.91;0.00;155398.30;60.940505
"'2";"PLANCHA GALVANIZADA F°G° 0.75 (1200x2400mm)";24/06/2021;Entrada por Compra -;87;Almacen Central;75;0;2625;66.949152;5021.19;0.00;160419.49;61.112182
"'2";"PLANCHA GALVANIZADA F°G° 0.75 (1200x2400mm)";24/06/2021;Entrada por Compra -;88;Almacen Central;75;0;2700;66.949152;5021.19;0.00;165440.68;61.274321
"'2";"PLANCHA GALVANIZADA F°G° 0.75 (1200x2400mm)";06/07/2021;Entrada por Compra -;91;Almacen Central;50;0;2750;66.949152;3347.46;0.00;168788.14;61.3775
"'2";"PLANCHA GALVANIZADA F°G° 0.75 (1200x2400mm)";06/07/2021;Entrada por Compra -;92;Almacen Central;50;0;2800;66.949152;3347.46;0.00;172135.60;61.476994
"'2";"PLANCHA GALVANIZADA F°G° 0.75 (1200x2400mm)";12/07/2021;Entrada por Compra -;75;Almacen Central;200;0;3000;66.949152;13389.83;0.00;185525.43;61.841804
"'2";"PLANCHA GALVANIZADA F°G° 0.75 (1200x2400mm)";27/07/2021;Entrada por Compra -;95;Almacen Central;30;0;3030;67.372881;2021.19;0.00;187546.62;61.896568
"'2";"PLANCHA GALVANIZADA F°G° 0.75 (1200x2400mm)";02/08/2021;Entrada por Compra -;96;Almacen Central;30;0;3060;69.491521;2084.75;0.00;189631.37;61.971029
"'2";"PLANCHA GALVANIZADA F°G° 0.75 (1200x2400mm)";03/08/2021;Entrada por Compra -;97;Almacen Central;25;0;3085;69.491525;1737.29;0.00;191368.66;62.031973
"'2";"PLANCHA GALVANIZADA F°G° 0.75 (1200x2400mm)";05/08/2021;Entrada por Compra -;98;Almacen Central;45;0;3130;69.491525;3127.12;0.00;194495.78;62.139219
"'2";"PLANCHA GALVANIZADA F°G° 0.75 (1200x2400mm)";09/08/2021;Entrada por Compra -;100;Almacen Central;100;0;3230;69.491525;6949.15;0.00;201444.93;62.366843
"'2";"PLANCHA GALVANIZADA F°G° 0.75 (1200x2400mm)";12/08/2021;Entrada por Compra -;101;Almacen Central;100;0;3330;71.18644;7118.64;0.00;208563.57;62.631694
"'2";"PLANCHA GALVANIZADA F°G° 0.75 (1200x2400mm)";17/08/2021;Entrada por Compra -;104;Almacen Central;100;0;3430;72.457627;7245.76;0.00;215809.33;62.918163
"'2";"PLANCHA GALVANIZADA F°G° 0.75 (1200x2400mm)";20/08/2021;Entrada por Compra -;105;Almacen Central;100;0;3530;72.457627;7245.76;0.00;223055.09;63.188402
"'2";"PLANCHA GALVANIZADA F°G° 0.75 (1200x2400mm)";01/09/2021;Entrada por Compra -;108;Almacen Central;100;0;3630;72.457627;7245.76;0.00;230300.85;63.443751
"'2";"PLANCHA GALVANIZADA F°G° 0.75 (1200x2400mm)";09/09/2021;Entrada por Compra -;110;Almacen Central;100;0;3730;72.457627;7245.76;0.00;237546.61;63.685409
"'2";"PLANCHA GALVANIZADA F°G° 0.75 (1200x2400mm)";30/09/2021;Entrada por Compra -;111;Almacen Central;100;0;3830;75.847457;7584.75;0.00;245131.36;64.002957
"'2";"PLANCHA GALVANIZADA F°G° 0.75 (1200x2400mm)";30/09/2021;Entrada por Compra -;112;Almacen Central;100;0;3930;75.847457;7584.75;0.00;252716.11;64.304344
"'2";"PLANCHA GALVANIZADA F°G° 0.75 (1200x2400mm)";30/09/2021;Entrada por Compra -;115;Almacen Central;100;0;4030;75.847457;7584.75;0.00;260300.86;64.590774
"'2";"PLANCHA GALVANIZADA F°G° 0.75 (1200x2400mm)";30/09/2021;Entrada por Compra -;116;Almacen Central;100;0;4130;75.847457;7584.75;0.00;267885.61;64.863333
"'2";"PLANCHA GALVANIZADA F°G° 0.75 (1200x2400mm)";30/09/2021;Ajuste de Salida;11;Almacen Central;0;4130;0;0;0.00;267886.00;-0.39;64.863333
"'2";"PLANCHA GALVANIZADA F°G° 0.75 (1200x2400mm)";06/10/2021;Entrada por Compra -;161;Almacen Central;100;0;100;77.033898;7703.39;0.00;7703.00;77.0339
"'2";"PLANCHA GALVANIZADA F°G° 0.75 (1200x2400mm)";12/10/2021;Entrada por Compra -;162;Almacen Central;45;0;145;77.033898;3466.53;0.00;11169.53;77.033931
"'2";"PLANCHA GALVANIZADA F°G° 0.75 (1200x2400mm)";12/10/2021;Entrada por Compra -;163;Almacen Central;45;0;190;77.033898;3466.53;0.00;14636.06;77.033947
"'2";"PLANCHA GALVANIZADA F°G° 0.75 (1200x2400mm)";26/10/2021;Entrada por Compra -;166;Almacen Central;100;0;290;82.288135;8228.81;0.00;22864.87;78.845723
"'2";"PLANCHA GALVANIZADA F°G° 0.75 (1200x2400mm)";26/10/2021;Entrada por Compra -;167;Almacen Central;100;0;390;82.288135;8228.81;0.00;31093.68;79.728383
"'2";"PLANCHA GALVANIZADA F°G° 0.75 (1200x2400mm)";02/11/2021;Entrada por Compra -;168;Almacen Central;80;0;470;82.288135;6583.05;0.00;37676.73;80.164083
"'2";"PLANCHA GALVANIZADA F°G° 0.75 (1200x2400mm)";17/11/2021;Entrada por Compra -;172;Almacen Central;100;0;570;86.355932;8635.59;0.00;46312.32;81.250366
"'2";"PLANCHA GALVANIZADA F°G° 0.75 (1200x2400mm)";23/11/2021;Entrada por Compra -;173;Almacen Central;100;0;670;86.355932;8635.59;0.00;54947.91;82.012386
"'2";"PLANCHA GALVANIZADA F°G° 0.75 (1200x2400mm)";24/11/2021;Entrada por Compra -;174;Almacen Central;100;0;770;86.355932;8635.59;0.00;63583.50;82.576478
"'2";"PLANCHA GALVANIZADA F°G° 0.75 (1200x2400mm)";01/12/2021;Entrada por Compra -;175;Almacen Central;100;0;870;86.355932;8635.59;0.00;72219.09;83.010894
"'2";"PLANCHA GALVANIZADA F°G° 0.75 (1200x2400mm)";01/12/2021;Entrada por Compra -;176;Almacen Central;100;0;970;86.355932;8635.59;0.00;80854.68;83.355739
"'2";"PLANCHA GALVANIZADA F°G° 0.75 (1200x2400mm)";15/12/2021;Entrada por Compra -;182;Almacen Central;100;0;1070;86.355932;8635.59;0.00;89490.27;83.636127
"'2";"PLANCHA GALVANIZADA F°G° 0.75 (1200x2400mm)";28/12/2021;Entrada por Compra -;185;Almacen Central;100;0;1170;86.355932;8635.59;0.00;98125.86;83.868586
"'20";"BOLSA DE POLIETILENO 16X18MM";;Saldo Anterior;;;;;0;;;;0.00;0
"'20";"BOLSA DE POLIETILENO 16X18MM";01/03/2021;Entrada por Compra -;53;Almacen Central;66.2;0;66.2;8.832;584.68;0.00;584.68;8.832
"'20";"BOLSA DE POLIETILENO 16X18MM";12/03/2021;Entrada por Compra -;37;Almacen Central;54.4;0;120.6;9.487289;516.11;0.00;1100.79;9.127598
"'21";"TORNILLO WAFER P/PUNTA BROCA ZINCADO 8X1/2";;Saldo Anterior;;;;;0;;;;0.00;0
"'21";"TORNILLO WAFER P/PUNTA BROCA ZINCADO 8X1/2";26/03/2021;Entrada por Compra -;42;Almacen Central;4;0;4;20.338983;81.36;0.00;81.36;20.339491
"'22";"MATRIZ RECT ESP FONDO 50 DE 3/4, 1 CIZALLA, 2 NOCKAUT DE 3/4.BLOQUE DE ACERO BONIFICADO CON 2 GUIAS";;Saldo Anterior;;;;;0;;;;0.00;0
"'22";"MATRIZ RECT ESP FONDO 50 DE 3/4, 1 CIZALLA, 2 NOCKAUT DE 3/4.BLOQUE DE ACERO BONIFICADO CON 2 GUIAS";30/03/2021;Entrada por Compra -;45;Almacen Central;1;0;1;7500;7500.00;0.00;7500.00;7500
"'23";"MATRIZ DE EMBUTIDO CAJA OCTOGONAL PARA 0.70 Y 0.90";;Saldo Anterior;;;;;0;;;;0.00;0
"'23";"MATRIZ DE EMBUTIDO CAJA OCTOGONAL PARA 0.70 Y 0.90";01/03/2021;Entrada por Compra -;54;Almacen Central;1;0;1;5200;5200.00;0.00;5200.00;5200
"'24";"MATRIZ DE CABECERA PROGRESIVA DE 1/2";;Saldo Anterior;;;;;0;;;;0.00;0
"'24";"MATRIZ DE CABECERA PROGRESIVA DE 1/2";14/04/2021;Entrada por Compra -;62;Almacen Central;1;0;1;2584.745;2584.75;0.00;2584.75;2584.745
"'25";"PLANCHA GALVANIZADA  F°G° 0.60 (1200x2400mm)";;Saldo Anterior;;;;;0;;;;0.00;0
"'25";"PLANCHA GALVANIZADA  F°G° 0.60 (1200x2400mm)";09/02/2021;Entrada por Compra -;73;Almacen Central;1;0;1;61.02;61.02;0.00;61.02;61.02
"'25";"PLANCHA GALVANIZADA  F°G° 0.60 (1200x2400mm)";03/05/2021;Entrada por Compra -;78;Almacen Central;50;0;51;54.661;2733.05;0.00;2794.07;54.785686
"'25";"PLANCHA GALVANIZADA  F°G° 0.60 (1200x2400mm)";14/06/2021;Entrada por Compra -;85;Almacen Central;20;0;71;55.084745;1101.69;0.00;3895.76;54.869858
"'25";"PLANCHA GALVANIZADA  F°G° 0.60 (1200x2400mm)";14/07/2021;Entrada por Compra -;76;Almacen Central;100;0;171;58.05085;5805.09;0.00;9700.85;56.730116
"'25";"PLANCHA GALVANIZADA  F°G° 0.60 (1200x2400mm)";28/08/2021;Entrada por Compra -;107;Almacen Central;70;0;241;62.711864;4389.83;0.00;14090.68;58.467551
"'25";"PLANCHA GALVANIZADA  F°G° 0.60 (1200x2400mm)";08/09/2021;Entrada por Compra -;72;Almacen Central;10;0;251;65.68;656.80;0.00;14747.48;58.754899
"'25";"PLANCHA GALVANIZADA  F°G° 0.60 (1200x2400mm)";30/09/2021;Entrada por Compra -;117;Almacen Central;100;0;351;68.6441;6864.41;0.00;21611.89;61.572335
"'25";"PLANCHA GALVANIZADA  F°G° 0.60 (1200x2400mm)";30/09/2021;Ajuste de Salida;11;Almacen Central;0;296;55;0;0.00;18225.41;3386.48;61.572335
"'25";"PLANCHA GALVANIZADA  F°G° 0.60 (1200x2400mm)";14/12/2021;Entrada por Compra -;188;Almacen Central;15;0;70;71.87;1078.05;0.00;4464.53;63.778977
"'26";"AMOLADORA BOSCH 670W";;Saldo Anterior;;;;;0;;;;0.00;0
"'26";"AMOLADORA BOSCH 670W";01/03/2021;Entrada por Compra -;55;Almacen Central;1;0;1;161.02;161.02;0.00;161.02;161.02
"'27";"GATA BOTELLA TRUPER DE 2 TON";;Saldo Anterior;;;;;0;;;;0.00;0
"'27";"GATA BOTELLA TRUPER DE 2 TON";29/04/2021;Entrada por Compra -;71;Almacen Central;2;0;2;42.372882;84.75;0.00;84.75;42.372882
"'28";"MATRIZ PUNZONADORA Y DOBLADORA DE OREJAS PARA CAJA RECT LIVIANA Y PESADA";;Saldo Anterior;;;;;0;;;;0.00;0
"'32";"CAJA DE PASE  350X350X150MM  (F.G. 1.20)";;Saldo Anterior;;;;;0;;;;0.00;0
"'32";"CAJA DE PASE  350X350X150MM  (F.G. 1.20)";01/01/2021;Apertura;8;Almacen Central;8;0;8;1;8.00;0.00;8.00;1
"'32";"CAJA DE PASE  350X350X150MM  (F.G. 1.20)";01/01/2021;Guía de remisión - R;2;Almacen Central;0;8;0;0;0.00;8.00;0.00;1
"'33";"CAJA DE PASE  400X150X150MM   (F.G. 1.20)";;Saldo Anterior;;;;;0;;;;0.00;0
"'33";"CAJA DE PASE  400X150X150MM   (F.G. 1.20)";01/01/2021;Apertura;9;Almacen Central;3;0;3;1;3.00;0.00;3.00;1
"'33";"CAJA DE PASE  400X150X150MM   (F.G. 1.20)";01/01/2021;Guía de remisión - R;2;Almacen Central;0;3;0;0;0.00;3.00;0.00;1
"'34";"CAJA DE PASE 650X350X150MM C/TAPA PINTADA Y DOBLES 90°  (F.G. 1.20)";;Saldo Anterior;;;;;0;;;;0.00;0
"'34";"CAJA DE PASE 650X350X150MM C/TAPA PINTADA Y DOBLES 90°  (F.G. 1.20)";01/01/2021;Apertura;9;Almacen Central;16;0;16;1;16.00;0.00;16.00;1
"'34";"CAJA DE PASE 650X350X150MM C/TAPA PINTADA Y DOBLES 90°  (F.G. 1.20)";01/01/2021;Guía de remisión - R;2;Almacen Central;0;16;0;0;0.00;16.00;0.00;1
"'35";"CAJA DE PASE 300X300X150MM CIEGA (F. G. 0.75)";;Saldo Anterior;;;;;0;;;;0.00;0
"'35";"CAJA DE PASE 300X300X150MM CIEGA (F. G. 0.75)";01/01/2021;Apertura;23;Almacen Central;3;0;3;1;3.00;0.00;3.00;1
"'35";"CAJA DE PASE 300X300X150MM CIEGA (F. G. 0.75)";06/02/2021;Guía de remisión - R;62;Almacen Central;0;3;0;0;0.00;3.00;0.00;1
"'36";"CAJA RECT 100X60X50MM 1/2 (F.G.1.15)";;Saldo Anterior;;;;;0;;;;0.00;0
"'36";"CAJA RECT 100X60X50MM 1/2 (F.G.1.15)";01/01/2021;Apertura;25;Almacen Central;1072;0;1072;1;1072.00;0.00;1072.00;1
"'36";"CAJA RECT 100X60X50MM 1/2 (F.G.1.15)";01/01/2021;Apertura;26;Almacen Central;3000;0;4072;1;3000.00;0.00;4072.00;1
"'36";"CAJA RECT 100X60X50MM 1/2 (F.G.1.15)";01/01/2021;Apertura;27;Almacen Central;1054;0;5126;1;1054.00;0.00;5126.00;1
"'36";"CAJA RECT 100X60X50MM 1/2 (F.G.1.15)";10/02/2021;Guía de remisión - R;63;Almacen Central;0;1072;4054;0;0.00;1072.00;4054.00;1
"'36";"CAJA RECT 100X60X50MM 1/2 (F.G.1.15)";10/02/2021;Guía de remisión - R;64;Almacen Central;0;3000;1054;0;0.00;3000.00;1054.00;1
"'36";"CAJA RECT 100X60X50MM 1/2 (F.G.1.15)";10/02/2021;Guía de remisión - R;66;Almacen Central;0;1054;0;0;0.00;1054.00;0.00;1
"'37";"TAPA TELEF. 650X350X130MM (F.G.1.20)";;Saldo Anterior;;;;;0;;;;0.00;0
"'37";"TAPA TELEF. 650X350X130MM (F.G.1.20)";01/01/2021;Apertura;28;Almacen Central;20;0;20;1;20.00;0.00;20.00;1
"'37";"TAPA TELEF. 650X350X130MM (F.G.1.20)";10/02/2021;Guía de remisión - R;67;Almacen Central;0;20;0;0;0.00;20.00;0.00;1
"'38";"CAJA TELEF. 650X350X130MM (F.G.1.20)";;Saldo Anterior;;;;;0;;;;0.00;0
"'38";"CAJA TELEF. 650X350X130MM (F.G.1.20)";01/01/2021;Apertura;29;Almacen Central;10;0;10;1;10.00;0.00;10.00;1
"'38";"CAJA TELEF. 650X350X130MM (F.G.1.20)";10/02/2021;Guía de remisión - R;67;Almacen Central;0;10;0;0;0.00;10.00;0.00;1
"'39";"CAJA DE PASE 200X200X75MM 1 1/4” (F.G 1.50)";;Saldo Anterior;;;;;0;;;;0.00;0
"'39";"CAJA DE PASE 200X200X75MM 1 1/4” (F.G 1.50)";01/01/2021;Apertura;30;Almacen Central;32;0;32;1;32.00;0.00;32.00;1
"'39";"CAJA DE PASE 200X200X75MM 1 1/4” (F.G 1.50)";22/02/2021;Guía de remisión - R;91;Almacen Central;0;32;0;0;0.00;32.00;0.00;1
"'4";"BOLSA DE POLIETILENO 16X24MM";;Saldo Anterior;;;;;0;;;;0.00;0
"'4";"BOLSA DE POLIETILENO 16X24MM";01/03/2021;Entrada por Compra -;53;Almacen Central;67.4;0;67.4;8.832;595.28;0.00;595.28;8.832
"'4";"BOLSA DE POLIETILENO 16X24MM";12/03/2021;Entrada por Compra -;37;Almacen Central;55.8;0;123.2;9.487289;529.39;0.00;1124.67;9.128788
"'4";"BOLSA DE POLIETILENO 16X24MM";14/04/2021;Entrada por Compra -;66;Almacen Central;112.6;0;235.8;8.5152;958.81;0.00;2083.48;8.835778
"'40";"CAJA DE PASE 100X100X69MM 3/4 (F.G.1.50)";;Saldo Anterior;;;;;0;;;;0.00;0
"'40";"CAJA DE PASE 100X100X69MM 3/4 (F.G.1.50)";01/01/2021;Apertura;38;Almacen Central;500;0;500;1;500.00;0.00;500.00;1
"'40";"CAJA DE PASE 100X100X69MM 3/4 (F.G.1.50)";01/01/2021;Apertura;52;Almacen Central;150;0;650;1;150.00;0.00;650.00;1
"'40";"CAJA DE PASE 100X100X69MM 3/4 (F.G.1.50)";04/03/2021;Guía de remisión - R;155;Almacen Central;0;150;500;0;0.00;150.00;500.00;1
"'40";"CAJA DE PASE 100X100X69MM 3/4 (F.G.1.50)";08/03/2021;Guía de remisión - R;131;Almacen Central;0;500;0;0;0.00;500.00;0.00;1
"'40";"CAJA DE PASE 100X100X69MM 3/4 (F.G.1.50)";15/11/2021;Entrada por Producci;125;Almacen Central;35;0;35;1;35.00;0.00;35.00;1
"'40";"CAJA DE PASE 100X100X69MM 3/4 (F.G.1.50)";15/11/2021;Guía de remisión - R;184;Almacen Central;0;35;0;0;0;35;0.00;1
"'40";"CAJA DE PASE 100X100X69MM 3/4 (F.G.1.50)";15/11/2021;Guía de remisión - R;184;Almacen Punto de Ventas 1;35;0;35;0;35;0;35.00;1
"'41";"CAJA DE PASE 500X300X300MM CIEGA (F.G.1.15)";;Saldo Anterior;;;;;0;;;;0.00;0
"'41";"CAJA DE PASE 500X300X300MM CIEGA (F.G.1.15)";01/01/2021;Apertura;39;Almacen Central;1;0;1;1;1.00;0.00;1.00;1
"'41";"CAJA DE PASE 500X300X300MM CIEGA (F.G.1.15)";15/09/2021;Ajuste de Salida;9;Almacen Central;0;1;0;0;0.00;1.00;0.00;1
"'42";"CAJA DE PASE 400X300X100MM CIEGA (F.G.1.15)";;Saldo Anterior;;;;;0;;;;0.00;0
"'42";"CAJA DE PASE 400X300X100MM CIEGA (F.G.1.15)";01/01/2021;Apertura;39;Almacen Central;1;0;1;1;1.00;0.00;1.00;1
"'42";"CAJA DE PASE 400X300X100MM CIEGA (F.G.1.15)";15/09/2021;Ajuste de Salida;9;Almacen Central;0;1;0;0;0.00;1.00;0.00;1
"'43";"TAPA REDONDA CON LOGO 3/4 (F.G.1.20)";;Saldo Anterior;;;;;0;;;;0.00;0
"'43";"TAPA REDONDA CON LOGO 3/4 (F.G.1.20)";01/01/2021;Apertura;41;Almacen Central;500;0;500;1;500.00;0.00;500.00;1
"'43";"TAPA REDONDA CON LOGO 3/4 (F.G.1.20)";08/03/2021;Guía de remisión - R;131;Almacen Central;0;500;0;0;0.00;500.00;0.00;1
"'44";"CAJA RECT 100X60X50MM 3/4 (F.G.1.15)";;Saldo Anterior;;;;;0;;;;0.00;0
