Código;Descripción;Fecha;Documento;Número;Bodega;Entrada;Salida;Saldo;Valor Unitario;Entrada.1;Salida.1;Saldo.1;Costo Unitario
(Automático);CAJA DE PASE 200X200X75MM (F.G.1.50);22/03/2021;Saldo Anterior;;;;;0.0;;;;0.0;1.0
'1;PLANCHA GALVANIZADA F°G° 1.45 (1200x2400mm);10/05/2024;Saldo Anterior;;;;;0.0;;;;-0.01;131.7
'10;AUTORROSCANTES 8X3/8;23/04/2021;Saldo Anterior;;;;;29.0;;;;416.79;14.371968
'11;PEGAMENTO DE 1/4  AZUL;30/11/2022;Saldo Anterior;;;;;0.0;;;;0.0;24.5762
'12;MATRIZ DE 4x4x2: 2PUNZONES DE 3/4, 1 CUCHILLA,2BOCINAS CON TTO, 2 GUIAS CON TTO, 1 BASE 3/4, 2 ESQUI;05/01/2021;Saldo Anterior;;;;;1.0;;;;2500.0;2500.0
'13;GUANTE DE POLIESTER;31/03/2021;Saldo Anterior;;;;;36.0;;;;81.37;2.330997
'14;GUANTE NITRON CLUTE;31/03/2021;Saldo Anterior;;;;;36.0;;;;183.87;5.331282
'15;MATRIZ DE CAJA OCT 3/4, 1PUNZON DE 3/4, 1CIZALLA,2 GUIAS, 2 BOCINAS TTO;01/03/2021;Saldo Anterior;;;;;1.0;;;;4500.0;4500.0
'16;MATRIZ DE OCT PROGRESIVA CORTE Y OREJAS COTE Y CIZALLA, 2 GUIAS 2 BOCINAS TTO;01/03/2021;Saldo Anterior;;;;;1.0;;;;6000.0;6000.0
'17;PLUMON FAB 23 NEGRO;25/01/2021;Saldo Anterior;;;;;24.0;;;;46.61;1.942086
'18;PLUMON FAB 23 VERDE;25/01/2021;Saldo Anterior;;;;;24.0;;;;46.61;1.942086
'19;STRECH FILM 20X3KG;21/04/2021;Saldo Anterior;;;;;20.0;;;;419.49;20.72043
'2;PLANCHA GALVANIZADA F°G° 0.75 (1200x2400mm);26/12/2024;Saldo Anterior;;;;;100.0;;;;6998.59;70.0
'2;PLANCHA GALVANIZADA F°G° 0.75 (1200x2400mm);02/01/2025;Salida de Materia Pr;2.0;Almacen Central;0.0;88.0;12.0;0.0;0.0;6160.0;838.59;70.0
'2;PLANCHA GALVANIZADA F°G° 0.75 (1200x2400mm);02/01/2025;Salida de Materia Pr;3.0;Almacen Central;0.0;5.0;7.0;0.0;0.0;350.0;488.59;70.0
'2;PLANCHA GALVANIZADA F°G° 0.75 (1200x2400mm);02/01/2025;Salida de Materia Pr;4.0;Almacen Central;0.0;7.0;0.0;0.0;0.0;490.0;-1.41;70.0
'2;PLANCHA GALVANIZADA F°G° 0.75 (1200x2400mm);17/02/2025;Entrada por Compra -;83.0;Almacen Central;1.0;0.0;1.0;69.5;69.5;0.0;68.09;69.5
'2;PLANCHA GALVANIZADA F°G° 0.75 (1200x2400mm);24/02/2025;Entrada por Compra -;80.0;Almacen Central;80.0;0.0;81.0;69.5;5560.0;0.0;5628.09;69.5
'2;PLANCHA GALVANIZADA F°G° 0.75 (1200x2400mm);24/02/2025;Entrada por Compra -;81.0;Almacen Central;60.0;0.0;141.0;69.0;4140.0;0.0;9768.09;69.287234
'2;PLANCHA GALVANIZADA F°G° 0.75 (1200x2400mm);26/02/2025;Salida de Materia Pr;108.0;Almacen Central;0.0;1.0;140.0;0.0;0.0;69.29;9698.8;69.287234
'2;PLANCHA GALVANIZADA F°G° 0.75 (1200x2400mm);26/02/2025;Salida de Materia Pr;114.0;Almacen Central;0.0;2.0;138.0;0.0;0.0;138.57;9560.23;69.287234
'2;PLANCHA GALVANIZADA F°G° 0.75 (1200x2400mm);26/02/2025;Salida de Materia Pr;115.0;Almacen Central;0.0;23.0;115.0;0.0;0.0;1593.61;7966.62;69.287234
'2;PLANCHA GALVANIZADA F°G° 0.75 (1200x2400mm);26/02/2025;Salida de Materia Pr;116.0;Almacen Central;0.0;2.0;113.0;0.0;0.0;138.57;7828.05;69.287234
'2;PLANCHA GALVANIZADA F°G° 0.75 (1200x2400mm);01/03/2025;Salida de Materia Pr;122.0;Almacen Central;0.0;7.0;106.0;0.0;0.0;485.01;7343.04;69.287234
'2;PLANCHA GALVANIZADA F°G° 0.75 (1200x2400mm);03/03/2025;Salida de Materia Pr;123.0;Almacen Central;0.0;50.0;56.0;0.0;0.0;3464.36;3878.68;69.287234
'2;PLANCHA GALVANIZADA F°G° 0.75 (1200x2400mm);04/03/2025;Salida de Materia Pr;124.0;Almacen Central;0.0;10.0;46.0;0.0;0.0;692.87;3185.81;69.287234
'2;PLANCHA GALVANIZADA F°G° 0.75 (1200x2400mm);04/03/2025;Entrada por Compra -;101.0;Almacen Central;100.0;0.0;146.0;69.0;6900.0;0.0;10085.81;69.090498
'2;PLANCHA GALVANIZADA F°G° 0.75 (1200x2400mm);04/03/2025;Salida de Materia Pr;125.0;Almacen Central;0.0;50.0;96.0;0.0;0.0;3454.52;6631.29;69.090498
'2;PLANCHA GALVANIZADA F°G° 0.75 (1200x2400mm);05/03/2025;Salida de Materia Pr;126.0;Almacen Central;0.0;15.0;81.0;0.0;0.0;1036.36;5594.93;69.090498
'2;PLANCHA GALVANIZADA F°G° 0.75 (1200x2400mm);05/03/2025;Salida de Materia Pr;127.0;Almacen Central;0.0;6.0;75.0;0.0;0.0;414.54;5180.39;69.090498
'2;PLANCHA GALVANIZADA F°G° 0.75 (1200x2400mm);08/03/2025;Salida de Materia Pr;128.0;Almacen Central;0.0;14.0;61.0;0.0;0.0;967.27;4213.12;69.090498
'2;PLANCHA GALVANIZADA F°G° 0.75 (1200x2400mm);10/03/2025;Entrada por Compra -;103.0;Almacen Central;100.0;0.0;161.0;69.0;6900.0;0.0;11113.12;69.034288
'2;PLANCHA GALVANIZADA F°G° 0.75 (1200x2400mm);13/03/2025;Salida de Materia Pr;129.0;Almacen Central;0.0;2.0;159.0;0.0;0.0;138.07;10975.05;69.034288
