Código;Descripción;Fecha;Documento;Número;Bodega;Entrada;Salida;Saldo;Valor Unitario;Entrada.1;Salida.1;Saldo.1;Costo Unitario
(Automático);CAJA DE PASE 200X200X75MM (F.G.1.50);22/03/2021;Saldo Anterior;;;;;0.0;;;;0.0;1.0
'1;PLANCHA GALVANIZADA F°G° 1.45 (1200x2400mm);05/11/2022;Saldo Anterior;;;;;0.0;;;;-0.01;145.847333
'10;AUTORROSCANTES 8X3/8;23/04/2021;Saldo Anterior;;;;;29.0;;;;416.79;14.371968
'11;PEGAMENTO DE 1/4  AZUL;30/11/2022;Saldo Anterior;;;;;0.0;;;;0.0;24.5762
'12;MATRIZ DE 4x4x2: 2PUNZONES DE 3/4, 1 CUCHILLA,2BOCINAS CON TTO, 2 GUIAS CON TTO, 1 BASE 3/4, 2 ESQUI;05/01/2021;Saldo Anterior;;;;;1.0;;;;2500.0;2500.0
'13;GUANTE DE POLIESTER;31/03/2021;Saldo Anterior;;;;;36.0;;;;81.37;2.330997
'14;GUANTE NITRON CLUTE;31/03/2021;Saldo Anterior;;;;;36.0;;;;183.87;5.331282
'15;MATRIZ DE CAJA OCT 3/4, 1PUNZON DE 3/4, 1CIZALLA,2 GUIAS, 2 BOCINAS TTO;01/03/2021;Saldo Anterior;;;;;1.0;;;;4500.0;4500.0
'16;MATRIZ DE OCT PROGRESIVA CORTE Y OREJAS COTE Y CIZALLA, 2 GUIAS 2 BOCINAS TTO;01/03/2021;Saldo Anterior;;;;;1.0;;;;6000.0;6000.0
'17;PLUMON FAB 23 NEGRO;25/01/2021;Saldo Anterior;;;;;24.0;;;;46.61;1.942086
'18;PLUMON FAB 23 VERDE;25/01/2021;Saldo Anterior;;;;;24.0;;;;46.61;1.942086
'19;STRECH FILM 20X3KG;21/04/2021;Saldo Anterior;;;;;20.0;;;;419.49;20.72043
'2;PLANCHA GALVANIZADA F°G° 0.75 (1200x2400mm);29/12/2022;Saldo Anterior;;;;;100.0;;;;7234.72;72.372909
'2;PLANCHA GALVANIZADA F°G° 0.75 (1200x2400mm);02/01/2023;Salida de Materia Pr;1.0;Almacen Central;0.0;50.0;50.0;0.0;0.0;3619.0;3615.72;72.372909
'2;PLANCHA GALVANIZADA F°G° 0.75 (1200x2400mm);05/01/2023;Salida de Materia Pr;7.0;Almacen Central;0.0;10.0;40.0;0.0;0.0;724.0;2891.72;72.372909
'2;PLANCHA GALVANIZADA F°G° 0.75 (1200x2400mm);10/01/2023;Entrada por Compra -;132.0;Almacen Central;50.0;0.0;90.0;71.355932;3567.8;0.0;6459.52;71.807959
'2;PLANCHA GALVANIZADA F°G° 0.75 (1200x2400mm);10/01/2023;Salida de Materia Pr;13.0;Almacen Central;0.0;50.0;40.0;0.0;0.0;3590.0;2869.52;71.807959
'2;PLANCHA GALVANIZADA F°G° 0.75 (1200x2400mm);11/01/2023;Entrada por Compra -;133.0;Almacen Central;30.0;0.0;70.0;71.35593;2140.68;0.0;5010.2;71.614262
'2;PLANCHA GALVANIZADA F°G° 0.75 (1200x2400mm);13/01/2023;Salida de Materia Pr;21.0;Almacen Central;0.0;9.0;61.0;0.0;0.0;645.0;4365.2;71.614262
'2;PLANCHA GALVANIZADA F°G° 0.75 (1200x2400mm);24/01/2023;Salida de Materia Pr;31.0;Almacen Central;0.0;30.0;31.0;0.0;0.0;2148.0;2217.2;71.614262
'2;PLANCHA GALVANIZADA F°G° 0.75 (1200x2400mm);25/01/2023;Salida de Materia Pr;34.0;Almacen Central;0.0;30.0;1.0;0.0;0.0;2148.0;69.2;71.614262
'2;PLANCHA GALVANIZADA F°G° 0.75 (1200x2400mm);26/01/2023;Entrada por Compra -;121.0;Almacen Central;156.0;0.0;157.0;70.338983;10972.88;0.0;11042.08;70.347097
'2;PLANCHA GALVANIZADA F°G° 0.75 (1200x2400mm);27/01/2023;Salida de Materia Pr;35.0;Almacen Central;0.0;50.0;107.0;0.0;0.0;3517.0;7525.08;70.347097
'2;PLANCHA GALVANIZADA F°G° 0.75 (1200x2400mm);30/01/2023;Salida de Materia Pr;37.0;Almacen Central;0.0;50.0;57.0;0.0;0.0;3517.0;4008.08;70.347097
'2;PLANCHA GALVANIZADA F°G° 0.75 (1200x2400mm);30/01/2023;Salida de Materia Pr;39.0;Almacen Central;0.0;10.0;47.0;0.0;0.0;703.0;3305.08;70.347097
