Código;Descripción;Fecha;Documento;Número;Bodega;Entrada;Salida;Saldo;Valor Unitario;Entrada.1;Salida.1;Saldo.1;Costo Unitario
'2;PLANCHA GALVANIZADA F°G° 0.75 (1200x2400mm);08/02/2023;Salida de Materia Pr;51.0;Almacen Central;0.0;47.0;0.0;0.0;0.0;3306.0;-0.92;70.347097
'2;PLANCHA GALVANIZADA F°G° 0.75 (1200x2400mm);03/03/2023;Entrada por Compra -;57.0;Almacen Central;36.0;0.0;36.0;68.64406;2471.19;0.0;2470.27;68.644166
'2;PLANCHA GALVANIZADA F°G° 0.75 (1200x2400mm);11/03/2023;Salida de Materia Pr;86.0;Almacen Central;0.0;36.0;0.0;0.0;0.0;2471.19;-0.92;68.644166
'2;PLANCHA GALVANIZADA F°G° 0.75 (1200x2400mm);13/03/2023;Entrada por Compra -;59.0;Almacen Central;100.0;0.0;100.0;70.762711;7076.27;0.0;7075.35;70.7627
'2;PLANCHA GALVANIZADA F°G° 0.75 (1200x2400mm);15/03/2023;Salida de Materia Pr;94.0;Almacen Central;0.0;51.0;49.0;0.0;0.0;3608.9;3466.45;70.7627
'2;PLANCHA GALVANIZADA F°G° 0.75 (1200x2400mm);18/03/2023;Salida de Materia Pr;92.0;Almacen Central;0.0;9.0;40.0;0.0;0.0;636.86;2829.59;70.7627
'2;PLANCHA GALVANIZADA F°G° 0.75 (1200x2400mm);20/03/2023;Salida de Materia Pr;95.0;Almacen Central;0.0;40.0;0.0;0.0;0.0;2830.51;-0.92;70.7627
'2;PLANCHA GALVANIZADA F°G° 0.75 (1200x2400mm);21/03/2023;Entrada por Compra -;141.0;Almacen Central;70.0;0.0;70.0;68.64406;4805.08;0.0;4804.16;68.644
'2;PLANCHA GALVANIZADA F°G° 0.75 (1200x2400mm);01/04/2023;Entrada por Compra -;142.0;Almacen Central;100.0;0.0;170.0;70.762711;7076.27;0.0;11880.43;69.890294
'2;PLANCHA GALVANIZADA F°G° 0.75 (1200x2400mm);30/04/2023;Salida de Materia Pr;106.0;Almacen Central;0.0;143.0;27.0;0.0;0.0;9994.31;1886.12;69.890294
'20;BOLSA DE POLIETILENO 16X18MM;12/03/2021;Saldo Anterior;;;;;120.6;;;;1100.79;9.127598
'21;TORNILLO WAFER P/PUNTA BROCA ZINCADO 8X1/2;26/03/2021;Saldo Anterior;;;;;4.0;;;;81.36;20.339491
'22;MATRIZ RECT ESP FONDO 50 DE 3/4, 1 CIZALLA, 2 NOCKAUT DE 3/4.BLOQUE DE ACERO BONIFICADO CON 2 GUIAS;30/03/2021;Saldo Anterior;;;;;1.0;;;;7500.0;7500.0
'23;MATRIZ DE EMBUTIDO CAJA OCTOGONAL PARA 0.70 Y 0.90;01/03/2021;Saldo Anterior;;;;;1.0;;;;5200.0;5200.0
'24;MATRIZ DE CABECERA PROGRESIVA DE 1/2;14/04/2021;Saldo Anterior;;;;;1.0;;;;2584.75;2584.745
'25;PLANCHA GALVANIZADA  F°G° 0.60 (1200x2400mm);28/12/2022;Saldo Anterior;;;;;15.0;;;;925.45;61.779666
'25;PLANCHA GALVANIZADA  F°G° 0.60 (1200x2400mm);11/01/2023;Salida de Materia Pr;15.0;Almacen Central;0.0;5.0;10.0;0.0;0.0;308.9;616.55;61.779666
'25;PLANCHA GALVANIZADA  F°G° 0.60 (1200x2400mm);11/01/2023;Salida de Materia Pr;101.0;Almacen Central;0.0;5.0;5.0;0.0;0.0;308.9;307.65;61.779666
'25;PLANCHA GALVANIZADA  F°G° 0.60 (1200x2400mm);10/02/2023;Entrada por Compra -;49.0;Almacen Central;50.0;0.0;55.0;61.18644;3059.32;0.0;3366.97;61.240333
'25;PLANCHA GALVANIZADA  F°G° 0.60 (1200x2400mm);11/03/2023;Salida de Materia Pr;85.0;Almacen Central;0.0;10.0;45.0;0.0;0.0;612.4;2754.57;61.240333
'25;PLANCHA GALVANIZADA  F°G° 0.60 (1200x2400mm);31/03/2023;Salida de Materia Pr;104.0;Almacen Central;0.0;45.0;0.0;0.0;0.0;2755.81;-1.24;61.240333
'26;AMOLADORA BOSCH 670W;01/03/2021;Saldo Anterior;;;;;1.0;;;;161.02;161.02
'27;GATA BOTELLA TRUPER DE 2 TON;29/04/2021;Saldo Anterior;;;;;2.0;;;;84.75;42.372882
'28;MATRIZ PUNZONADORA Y DOBLADORA DE OREJAS PARA CAJA RECT LIVIANA Y PESADA;;Saldo Anterior;;;;;0.0;;;;0.0;0.0
'35;CAJA DE PASE 300X300X150MM CIEGA (F. G. 0.75);04/08/2022;Saldo Anterior;;;;;0.0;;;;0.0;1.0
'35;CAJA DE PASE 300X300X150MM CIEGA (F. G. 0.75);28/03/2023;Entrada por Compra -;67.0;Almacen Punto de Ventas 1;2.0;0.0;2.0;21.186441;42.37;0.0;42.37;21.185
'35;CAJA DE PASE 300X300X150MM CIEGA (F. G. 0.75);28/03/2023;Venta Tienda Sin Doc;166.0;Almacen Punto de Ventas 1;0.0;2.0;0.0;0.0;0.0;42.37;0.0;21.185
'35;CAJA DE PASE 300X300X150MM CIEGA (F. G. 0.75);02/05/2023;Entrada por Compra -;123.0;Almacen Punto de Ventas 1;2.0;0.0;2.0;21.18644;42.37;0.0;42.37;21.185
'35;CAJA DE PASE 300X300X150MM CIEGA (F. G. 0.75);02/05/2023;Salida por Consumo;700001560.0;Almacen Punto de Ventas 1;0.0;2.0;0.0;0.0;0.0;42.37;0.0;21.185
'35;CAJA DE PASE 300X300X150MM CIEGA (F. G. 0.75);09/05/2023;Entrada por Compra -;134.0;Almacen Punto de Ventas 1;1.0;0.0;1.0;23.728813;23.73;0.0;23.73;23.73
'35;CAJA DE PASE 300X300X150MM CIEGA (F. G. 0.75);09/05/2023;Salida por Consumo;700001616.0;Almacen Punto de Ventas 1;0.0;1.0;0.0;0.0;0.0;23.73;0.0;23.73
'35;CAJA DE PASE 300X300X150MM CIEGA (F. G. 0.75);09/06/2023;Entrada por Compra -;185.0;Almacen Punto de Ventas 1;3.0;0.0;3.0;21.18644;63.56;0.0;63.56;21.186666
'35;CAJA DE PASE 300X300X150MM CIEGA (F. G. 0.75);09/06/2023;Salida por Consumo;700001833.0;Almacen Punto de Ventas 1;0.0;3.0;0.0;0.0;0.0;63.56;0.0;21.186666
'35;CAJA DE PASE 300X300X150MM CIEGA (F. G. 0.75);15/06/2023;Entrada por Compra -;191.0;Almacen Punto de Ventas 1;1.0;0.0;1.0;21.18644;21.19;0.0;21.19;21.19
'35;CAJA DE PASE 300X300X150MM CIEGA (F. G. 0.75);15/06/2023;Salida por Consumo;700001864.0;Almacen Punto de Ventas 1;0.0;1.0;0.0;0.0;0.0;21.19;0.0;21.19
'35;CAJA DE PASE 300X300X150MM CIEGA (F. G. 0.75);07/07/2023;Entrada por Producci;371.0;Almacen Central;25.0;0.0;25.0;1.0;25.0;0.0;25.0;1.0
'35;CAJA DE PASE 300X300X150MM CIEGA (F. G. 0.75);08/07/2023;GUIA ELECTRONICA-REM;100000161.0;Almacen Central;0.0;15.0;10.0;0.0;0.0;15.0;10.0;1.0
'35;CAJA DE PASE 300X300X150MM CIEGA (F. G. 0.75);08/07/2023;GUIA ELECTRONICA-REM;100000161.0;Almacen Punto de Ventas 1;15.0;0.0;25.0;0.0;15.0;0.0;25.0;1.0
'35;CAJA DE PASE 300X300X150MM CIEGA (F. G. 0.75);08/08/2023;Salida por Consumo;700002198.0;Almacen Punto de Ventas 1;0.0;1.0;24.0;0.0;0.0;1.0;24.0;1.0
'35;CAJA DE PASE 300X300X150MM CIEGA (F. G. 0.75);14/08/2023;Salida por Consumo;700002258.0;Almacen Punto de Ventas 1;0.0;2.0;22.0;0.0;0.0;2.0;22.0;1.0
'35;CAJA DE PASE 300X300X150MM CIEGA (F. G. 0.75);22/08/2023;Salida por Consumo;700002315.0;Almacen Punto de Ventas 1;0.0;2.0;20.0;0.0;0.0;2.0;20.0;1.0
'35;CAJA DE PASE 300X300X150MM CIEGA (F. G. 0.75);24/08/2023;Salida por Consumo;700002344.0;Almacen Punto de Ventas 1;0.0;2.0;18.0;0.0;0.0;2.0;18.0;1.0
'35;CAJA DE PASE 300X300X150MM CIEGA (F. G. 0.75);29/08/2023;GUIA ELECTRONICA-REM;100000275.0;Almacen Central;0.0;10.0;8.0;0.0;0.0;10.0;8.0;1.0
'35;CAJA DE PASE 300X300X150MM CIEGA (F. G. 0.75);29/08/2023;GUIA ELECTRONICA-REM;100000275.0;Almacen Punto de Ventas 1;10.0;0.0;18.0;0.0;10.0;0.0;18.0;1.0
'35;CAJA DE PASE 300X300X150MM CIEGA (F. G. 0.75);01/09/2023;Salida por Consumo;700002407.0;Almacen Punto de Ventas 1;0.0;2.0;16.0;0.0;0.0;2.0;16.0;1.0
'35;CAJA DE PASE 300X300X150MM CIEGA (F. G. 0.75);22/09/2023;Salida por Consumo;700002573.0;Almacen Punto de Ventas 1;0.0;3.0;13.0;0.0;0.0;3.0;13.0;1.0
'35;CAJA DE PASE 300X300X150MM CIEGA (F. G. 0.75);27/09/2023;Salida por Consumo;700002613.0;Almacen Punto de Ventas 1;0.0;1.0;12.0;0.0;0.0;1.0;12.0;1.0
'35;CAJA DE PASE 300X300X150MM CIEGA (F. G. 0.75);03/10/2023;Salida por Consumo;700002669.0;Almacen Punto de Ventas 1;0.0;2.0;10.0;0.0;0.0;2.0;10.0;1.0
'35;CAJA DE PASE 300X300X150MM CIEGA (F. G. 0.75);06/10/2023;Salida por Consumo;700002706.0;Almacen Punto de Ventas 1;0.0;4.0;6.0;0.0;0.0;4.0;6.0;1.0
'35;CAJA DE PASE 300X300X150MM CIEGA (F. G. 0.75);11/10/2023;Salida por Consumo;700002740.0;Almacen Punto de Ventas 1;0.0;3.0;3.0;0.0;0.0;3.0;3.0;1.0
'35;CAJA DE PASE 300X300X150MM CIEGA (F. G. 0.75);20/10/2023;Entrada por Producci;580.0;Almacen Central;15.0;0.0;18.0;1.0;15.0;0.0;18.0;1.0
'35;CAJA DE PASE 300X300X150MM CIEGA (F. G. 0.75);20/10/2023;GUIA ELECTRONICA-REM;100000384.0;Almacen Central;0.0;15.0;3.0;0.0;0.0;15.0;3.0;1.0
'35;CAJA DE PASE 300X300X150MM CIEGA (F. G. 0.75);20/10/2023;GUIA ELECTRONICA-REM;100000384.0;Almacen Punto de Ventas 1;15.0;0.0;18.0;0.0;15.0;0.0;18.0;1.0
'35;CAJA DE PASE 300X300X150MM CIEGA (F. G. 0.75);20/10/2023;Salida por Consumo;700002829.0;Almacen Punto de Ventas 1;0.0;3.0;15.0;0.0;0.0;3.0;15.0;1.0
'35;CAJA DE PASE 300X300X150MM CIEGA (F. G. 0.75);31/10/2023;Salida por Consumo;700002939.0;Almacen Punto de Ventas 1;0.0;1.0;14.0;0.0;0.0;1.0;14.0;1.0
'35;CAJA DE PASE 300X300X150MM CIEGA (F. G. 0.75);09/11/2023;Salida por Consumo;700003005.0;Almacen Punto de Ventas 1;0.0;1.0;13.0;0.0;0.0;1.0;13.0;1.0
'35;CAJA DE PASE 300X300X150MM CIEGA (F. G. 0.75);01/12/2023;Traspaso entre Almac;64.0;Almacen Punto de Ventas 1;0.0;4.0;9.0;0.0;0.0;4.0;9.0;1.0
'35;CAJA DE PASE 300X300X150MM CIEGA (F. G. 0.75);01/12/2023;Traspaso entre Almac;64.0;Almacen Central;4.0;0.0;13.0;0.0;4.0;0.0;13.0;1.0
'36;CAJA RECT 100X60X50MM 1/2 (F.G.1.15);10/02/2021;Saldo Anterior;;;;;0.0;;;;0.0;1.0
'38;CAJA TELEF. 650X350X130MM (F.G.1.20);10/02/2021;Saldo Anterior;;;;;0.0;;;;0.0;1.0
'39;CAJA DE PASE 200X200X75MM 1 1/4” (F.G 1.50);22/02/2021;Saldo Anterior;;;;;0.0;;;;0.0;1.0
'39;CAJA DE PASE 200X200X75MM 1 1/4” (F.G 1.50);06/07/2023;Entrada por Producci;365.0;Almacen Central;30.0;0.0;30.0;1.0;30.0;0.0;30.0;1.0
'39;CAJA DE PASE 200X200X75MM 1 1/4” (F.G 1.50);06/07/2023;GUIA ELECTRONICA-REM;100000154.0;Almacen Central;0.0;30.0;0.0;0.0;0.0;30.0;0.0;1.0
'40;CAJA DE PASE 100X100X69MM 3/4 (F.G.1.50);03/06/2022;Saldo Anterior;;;;;0.0;;;;0.0;1.0
'41;CAJA DE PASE 500X300X300MM CIEGA (F.G.1.15);15/09/2021;Saldo Anterior;;;;;0.0;;;;0.0;1.0
'42;CAJA DE PASE 400X300X100MM CIEGA (F.G.1.15);15/09/2021;Saldo Anterior;;;;;0.0;;;;0.0;1.0
'44;CAJA RECT 100X60X50MM 3/4 (F.G.1.15);01/10/2021;Saldo Anterior;;;;;44.0;;;;44.0;1.0
'44;CAJA RECT 100X60X50MM 3/4 (F.G.1.15);02/02/2023;Traspaso entre Almac;14.0;Almacen Punto de Venta 2;0.0;44.0;0.0;0.0;0.0;44.0;0.0;1.0
'44;CAJA RECT 100X60X50MM 3/4 (F.G.1.15);02/02/2023;Traspaso entre Almac;14.0;Almacen Punto de Ventas 1;44.0;0.0;44.0;0.0;44.0;0.0;44.0;1.0
'44;CAJA RECT 100X60X50MM 3/4 (F.G.1.15);08/02/2023;Ajuste de Salida;6.0;Almacen Punto de Ventas 1;0.0;44.0;0.0;0.0;0.0;44.0;0.0;1.0
'45;CAJA DE PASE 200X200X70MM 3/4 (F.G.1.50);24/03/2021;Saldo Anterior;;;;;0.0;;;;0.0;1.0
'46;CAJA RECT 100X55X40MM 1/2 (F. G. 1.50);18/11/2022;Saldo Anterior;;;;;475.0;;;;475.15;1.000359
'46;CAJA RECT 100X55X40MM 1/2 (F. G. 1.50);27/03/2023;Ajuste de Salida;16.0;Almacen Central;0.0;1.0;474.0;0.0;0.0;1.0;474.15;1.000359
'46;CAJA RECT 100X55X40MM 1/2 (F. G. 1.50);03/04/2023;Traspaso entre Almac;35.0;Almacen Punto de Ventas 1;0.0;176.0;298.0;0.0;0.0;176.06;298.09;1.000359
'46;CAJA RECT 100X55X40MM 1/2 (F. G. 1.50);03/04/2023;Traspaso entre Almac;35.0;Almacen Central;176.0;0.0;474.0;0.0;176.06;0.0;474.15;1.000359
'46;CAJA RECT 100X55X40MM 1/2 (F. G. 1.50);04/04/2023;Ajuste de Entrada;14.0;Almacen Central;26.0;0.0;500.0;1.0;26.0;0.0;500.15;1.00034
'46;CAJA RECT 100X55X40MM 1/2 (F. G. 1.50);21/04/2023;GUIA ELECTRONICA-REM;100000026.0;Almacen Central;0.0;500.0;0.0;0.0;0.0;500.17;-0.02;1.00034
'46;CAJA RECT 100X55X40MM 1/2 (F. G. 1.50);24/08/2023;Entrada por Compra -;252.0;Almacen Punto de Ventas 1;15.0;0.0;15.0;2.627118;39.41;0.0;39.39;2.627333
'46;CAJA RECT 100X55X40MM 1/2 (F. G. 1.50);24/08/2023;Salida por Consumo;700002348.0;Almacen Punto de Ventas 1;0.0;15.0;0.0;0.0;0.0;39.41;-0.02;2.627333
'47;CAJA DE PASE 150X150X70MM HCO ESP (F.G.1.50);15/09/2022;Saldo Anterior;;;;;0.0;;;;0.0;1.0
'48;CAJA DE PASE 150X150X100MM 1/2 (F.G.0.75);13/03/2021;Saldo Anterior;;;;;0.0;;;;0.0;1.0
'48;CAJA DE PASE 150X150X100MM 1/2 (F.G.0.75);13/09/2023;Entrada por Producci;498.0;Almacen Central;10.0;0.0;10.0;1.0;10.0;0.0;10.0;1.0
'48;CAJA DE PASE 150X150X100MM 1/2 (F.G.0.75);13/09/2023;GUIA ELECTRONICA-REM;100000299.0;Almacen Central;0.0;10.0;0.0;0.0;0.0;10.0;0.0;1.0
'48;CAJA DE PASE 150X150X100MM 1/2 (F.G.0.75);13/09/2023;GUIA ELECTRONICA-REM;100000299.0;Almacen Punto de Ventas 1;10.0;0.0;10.0;0.0;10.0;0.0;10.0;1.0
'48;CAJA DE PASE 150X150X100MM 1/2 (F.G.0.75);13/09/2023;Salida por Consumo;700002498.0;Almacen Punto de Ventas 1;0.0;10.0;0.0;0.0;0.0;10.0;0.0;1.0
'49;CAJA DE PASE 650X500X150MM C/H (F.G.1.20);12/03/2021;Saldo Anterior;;;;;0.0;;;;0.0;1.0
'49;CAJA DE PASE 650X500X150MM C/H (F.G.1.20);10/10/2023;Entrada por Producci;557.0;Almacen Central;15.0;0.0;15.0;1.0;15.0;0.0;15.0;1.0
'49;CAJA DE PASE 650X500X150MM C/H (F.G.1.20);10/10/2023;GUIA ELECTRONICA-REM;100000361.0;Almacen Central;0.0;15.0;0.0;0.0;0.0;15.0;0.0;1.0
'49;CAJA DE PASE 650X500X150MM C/H (F.G.1.20);10/10/2023;GUIA ELECTRONICA-REM;100000361.0;Almacen Punto de Ventas 1;15.0;0.0;15.0;0.0;15.0;0.0;15.0;1.0
'49;CAJA DE PASE 650X500X150MM C/H (F.G.1.20);10/10/2023;Salida por Consumo;700002739.0;Almacen Punto de Ventas 1;0.0;15.0;0.0;0.0;0.0;15.0;0.0;1.0
'5;CINTA DE EMBALAJE;21/04/2021;Saldo Anterior;;;;;318.0;;;;446.6;1.379612
'50;CAJA DE PASE 1100X800X200MM (F.G.1.20);12/03/2021;Saldo Anterior;;;;;0.0;;;;0.0;1.0
'51;CAJA DE PASE 500X500X200MM CIEGA (F.G.1.50);22/03/2021;Saldo Anterior;;;;;0.0;;;;0.0;1.0
'52;CAJA DE PASE 700X700X250MM CIEGA (F.G.1.50);22/03/2021;Saldo Anterior;;;;;0.0;;;;0.0;1.0
'53;CAJA DE PASE 650X350X150MM CIEGA (F.G.1.50);22/03/2021;Saldo Anterior;;;;;0.0;;;;0.0;1.0
'53;CAJA DE PASE 650X350X150MM CIEGA (F.G.1.50);06/01/2023;Entrada por Producci;11.0;Almacen Central;10.0;0.0;10.0;1.0;10.0;0.0;10.0;1.0
'53;CAJA DE PASE 650X350X150MM CIEGA (F.G.1.50);12/01/2023;Guía de remisión - R;100004039.0;Almacen Central;0.0;10.0;0.0;0.0;0.0;10.0;0.0;1.0
'54;CAJA DE PASE 800X500X150MM CIEGA (F.G.1.20);22/03/2021;Saldo Anterior;;;;;0.0;;;;0.0;1.0
'55;GABINETE ADOSABLE 650X650X200MM (F.G.1.50);06/03/2021;Saldo Anterior;;;;;0.0;;;;0.0;1.0
'58;CAJA DE PASE  450X250X150MM C/TAPA PINTADA Y DOBLES 90°  (F.G. 1.20);26/07/2022;Saldo Anterior;;;;;0.0;;;;0.0;1.0
'59;GABINETE ADOSABLE 500X800X200MM CIEGA (F.G. 1.50);14/04/2021;Saldo Anterior;;;;;0.0;;;;0.0;1.0
'6;PLANCHA GALVANIZADA  F°G° 0.90 (1200x2400mm);15/12/2022;Saldo Anterior;;;;;0.0;;;;-1.28;90.762
'6;PLANCHA GALVANIZADA  F°G° 0.90 (1200x2400mm);21/02/2023;Entrada por Compra -;52.0;Almacen Central;50.0;0.0;50.0;89.745762;4487.29;0.0;4486.01;89.7458
'6;PLANCHA GALVANIZADA  F°G° 0.90 (1200x2400mm);24/02/2023;Salida de Materia Pr;73.0;Almacen Central;0.0;40.0;10.0;0.0;0.0;3589.83;896.18;89.7458
'6;PLANCHA GALVANIZADA  F°G° 0.90 (1200x2400mm);01/03/2023;Salida de Materia Pr;74.0;Almacen Central;0.0;5.0;5.0;0.0;0.0;448.73;447.45;89.7458
'6;PLANCHA GALVANIZADA  F°G° 0.90 (1200x2400mm);01/03/2023;Salida de Materia Pr;75.0;Almacen Central;0.0;1.0;4.0;0.0;0.0;89.75;357.7;89.7458
'6;PLANCHA GALVANIZADA  F°G° 0.90 (1200x2400mm);10/03/2023;Salida de Materia Pr;84.0;Almacen Central;0.0;1.0;3.0;0.0;0.0;89.75;267.95;89.7458
'6;PLANCHA GALVANIZADA  F°G° 0.90 (1200x2400mm);20/03/2023;Salida de Materia Pr;96.0;Almacen Central;0.0;3.0;0.0;0.0;0.0;269.24;-1.29;89.7458
'6;PLANCHA GALVANIZADA  F°G° 0.90 (1200x2400mm);31/05/2023;Entrada por Compra -;194.0;Almacen Central;60.0;0.0;60.0;88.135593;5288.14;0.0;5286.85;88.135666
'60;CAJA DE PASE 650X350X150MM - TIPO C (F.G.1.20);14/04/2021;Saldo Anterior;;;;;0.0;;;;0.0;1.0
'62;CAJA DE PASE ELECTRICA 3990X245X200MM (F.G.1.50);14/05/2021;Saldo Anterior;;;;;0.0;;;;0.0;1.0
'63;CAJA DE PASE 350X350X150MM (F.G.1.50);13/10/2021;Saldo Anterior;;;;;0.0;;;;0.0;1.0
'66;CAJA DE PASE 200X200X150MM CIEGA (F.G.0.75);04/08/2022;Saldo Anterior;;;;;0.0;;;;0.0;1.0
'66;CAJA DE PASE 200X200X150MM CIEGA (F.G.0.75);09/06/2023;Entrada por Compra -;185.0;Almacen Punto de Ventas 1;3.0;0.0;3.0;13.135593;39.41;0.0;39.41;13.136666
'66;CAJA DE PASE 200X200X150MM CIEGA (F.G.0.75);09/06/2023;Salida por Consumo;700001833.0;Almacen Punto de Ventas 1;0.0;3.0;0.0;0.0;0.0;39.41;0.0;13.136666
'66;CAJA DE PASE 200X200X150MM CIEGA (F.G.0.75);27/06/2023;Entrada por Producci;345.0;Almacen Central;30.0;0.0;30.0;1.0;30.0;0.0;30.0;1.0
'66;CAJA DE PASE 200X200X150MM CIEGA (F.G.0.75);27/06/2023;GUIA ELECTRONICA-REM;100000130.0;Almacen Central;0.0;30.0;0.0;0.0;0.0;30.0;0.0;1.0
'66;CAJA DE PASE 200X200X150MM CIEGA (F.G.0.75);27/06/2023;GUIA ELECTRONICA-REM;100000130.0;Almacen Punto de Ventas 1;30.0;0.0;30.0;0.0;30.0;0.0;30.0;1.0
'66;CAJA DE PASE 200X200X150MM CIEGA (F.G.0.75);27/06/2023;Entrada por Producci;348.0;Almacen Central;29.0;0.0;59.0;1.0;29.0;0.0;59.0;1.0
'66;CAJA DE PASE 200X200X150MM CIEGA (F.G.0.75);26/08/2023;GUIA ELECTRONICA-REM;100000270.0;Almacen Central;0.0;15.0;44.0;0.0;0.0;15.0;44.0;1.0
'66;CAJA DE PASE 200X200X150MM CIEGA (F.G.0.75);26/08/2023;GUIA ELECTRONICA-REM;100000270.0;Almacen Punto de Ventas 1;15.0;0.0;59.0;0.0;15.0;0.0;59.0;1.0
'66;CAJA DE PASE 200X200X150MM CIEGA (F.G.0.75);05/09/2023;Salida por Consumo;700002435.0;Almacen Punto de Ventas 1;0.0;1.0;58.0;0.0;0.0;1.0;58.0;1.0
'66;CAJA DE PASE 200X200X150MM CIEGA (F.G.0.75);25/09/2023;Salida por Consumo;700002582.0;Almacen Punto de Ventas 1;0.0;1.0;57.0;0.0;0.0;1.0;57.0;1.0
'66;CAJA DE PASE 200X200X150MM CIEGA (F.G.0.75);26/09/2023;Salida por Consumo;700002604.0;Almacen Punto de Ventas 1;0.0;9.0;48.0;0.0;0.0;9.0;48.0;1.0
'66;CAJA DE PASE 200X200X150MM CIEGA (F.G.0.75);28/09/2023;GUIA ELECTRONICA-REM;100000333.0;Almacen Central;0.0;12.0;36.0;0.0;0.0;12.0;36.0;1.0
'66;CAJA DE PASE 200X200X150MM CIEGA (F.G.0.75);28/09/2023;GUIA ELECTRONICA-REM;100000333.0;Almacen Punto de Ventas 1;12.0;0.0;48.0;0.0;12.0;0.0;48.0;1.0
