Feature;VIF
Mes;
Trimestre;
Día_Semana;
Día_Año;
Num_Semana_Año;
Lag_1;
Lag_2;
Lag_3;
Lag_4;
Lag_13;
MA_2;
MA_4;
MA_8;
MA_13;
Volatilidad_4;
Volatilidad_8;
Volatilidad_13;
Trend_vs_MA4;
Trend_vs_MA8;
Ratio_Min_Max;
Ratio_Transacciones;
Variabilidad_Intra;
Semana_Sin;
Semana_Cos;
Mes_Sin;
Mes_Cos;
Empresa_ARCHENGINE CONSULTORA S.A.C.;
Empresa_CIM;
Empresa_Consultores en Ingeniería y Mantenimiento General S.A.C.;
Empresa_DRAGON;
Empresa_ELCONSI;
Empresa_GCG - GARCIA CONTRATISTAS GENERALES S.A.;
Empresa_H&R ELECTRICAL ENGINEERS S.A.C.;
Empresa_JEF;
Empresa_Madrid INMOBILIARIA;
Empresa_NEVADO CONSTRUCTORA;
Empresa_PROCISA INGENIEROS S.A.C.;
Empresa_SETECOM AIR;
Canal_Online;
Canal_Presencial;
Punto_Sector A;
Punto_Sector B;
Punto_Unknown;
Trim_1;
Trim_2;
Trim_3;
Trim_4;
Semana_Consecutivas_Venta;
