Código;Descripción;Fecha;Documento;Número;Bodega;Entrada;Salida;Saldo;Valor Unitario;Entrada.1;Salida.1;Saldo.1;Costo Unitario;Empresa_Cliente;Canal_Venta;Punto_Venta
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2021-02-19;Guía de remisión - R;68.0;Almacen Central;0.0;300.0;91100.0;0.0;0.0;299.97;91091.5;0.999893;ELCONSI;Online;
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2021-02-19;Guía de remisión - R;69.0;Almacen Central;0.0;240.0;90860.0;0.0;0.0;239.97;90851.53;0.999893;GCG - GARCIA CONTRATISTAS GENERALES S.A.;Presencial;Sector B
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2021-02-19;Guía de remisión - R;92.0;Almacen Central;0.0;1.0;90859.0;0.0;0.0;1.0;90850.53;0.999893;PROCISA INGENIEROS S.A.C.;Presencial;Sector B
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2021-02-22;Guía de remisión - R;140.0;Almacen Central;0.0;1000.0;89859.0;0.0;0.0;999.89;89850.64;0.999893;ELCONSI;Online;
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2021-02-24;Guía de remisión - R;82.0;Almacen Central;0.0;350.0;89509.0;0.0;0.0;349.96;89500.68;0.999893;SETECOM AIR;Presencial;Sector A
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2021-03-02;Guía de remisión - R;99.0;Almacen Central;0.0;200.0;89309.0;0.0;0.0;199.98;89300.7;0.999893;Madrid INMOBILIARIA;Presencial;Sector A
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2021-03-09;Guía de remisión - R;148.0;Almacen Central;0.0;2000.0;87309.0;0.0;0.0;1999.79;87300.91;0.999893;DRAGON;Online;
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2021-03-10;Guía de remisión - R;18.0;Almacen Central;0.0;2000.0;85309.0;0.0;0.0;1999.79;85301.12;0.999893;SETECOM AIR;Online;
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2021-03-11;Guía de remisión - R;19.0;Almacen Central;0.0;3750.0;83559.0;0.0;0.0;3749.6;83551.31;0.999893;NEVADO CONSTRUCTORA;Online;
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2021-03-12;Guía de remisión - R;20.0;Almacen Central;0.0;1500.0;85809.0;0.0;0.0;1499.84;85801.07;0.999893;NEVADO CONSTRUCTORA;Presencial;Sector A
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2021-03-13;Guía de remisión - R;152.0;Almacen Central;0.0;400.0;86909.0;0.0;0.0;399.96;86900.95;0.999893;SETECOM AIR;Online;
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2021-03-15;Guía de remisión - R;146.0;Almacen Central;0.0;500.0;86409.0;0.0;0.0;499.95;86401.0;0.999893;PROCISA INGENIEROS S.A.C.;Presencial;Sector A
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2021-03-26;Guía de remisión - R;26.0;Almacen Central;0.0;1000.0;85409.0;0.0;0.0;999.89;85401.11;0.999893;NEVADO CONSTRUCTORA;Online;
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2021-04-08;Guía de remisión - R;31.0;Almacen Central;0.0;2000.0;84409.0;0.0;0.0;1999.79;84401.21;0.999893;CIM;Presencial;Sector A
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2021-04-09;Guía de remisión - R;169.0;Almacen Central;0.0;1150.0;85259.0;0.0;0.0;1149.88;85251.12;0.999893;NEVADO CONSTRUCTORA;Online;
