Semana_Inicio;Ventas_Semanales;Produccion_Semanal;Planchas_Ventas;Planchas_Produccion;Planchas_Gap
2023-05-22;1050.0;0.0;7.3500000000000005;0.0;-7.3500000000000005
2023-05-29;1790.0;0.0;12.530000000000001;0.0;-12.530000000000001
2023-06-05;918.0;0.0;6.426;0.0;-6.426
2023-06-19;2.0;0.0;0.014;0.0;-0.014
2023-06-26;1350.0;4571.0;9.450000000000001;31.997;22.546999999999997
2023-07-03;450.0;0.0;3.15;0.0;-3.15
2023-07-10;400.0;1187.0;2.8000000000000003;8.309000000000001;5.509
2023-07-17;100.0;0.0;0.7000000000000001;0.0;-0.7000000000000001
2023-07-24;65.0;0.0;0.455;0.0;-0.455
2023-07-31;62.0;0.0;0.434;0.0;-0.434
2023-08-07;700.0;0.0;4.9;0.0;-4.9
2023-09-04;50.0;0.0;0.35000000000000003;0.0;-0.35000000000000003
2023-09-11;10.0;0.0;0.07;0.0;-0.07
2023-09-18;784.0;787.0;5.488;5.509;0.020999999999999908
2023-09-25;506.0;0.0;3.5420000000000003;0.0;-3.5420000000000003
2023-10-02;1280.0;1.0;8.96;0.007;-8.953000000000001
2023-10-09;1350.0;2401.0;9.450000000000001;16.807;7.3569999999999975
2023-10-16;150.0;0.0;1.05;0.0;-1.05
2023-10-23;750.0;0.0;5.25;0.0;-5.25
2023-10-30;151.0;0.0;1.057;0.0;-1.057
2023-11-06;11.0;500.0;0.077;3.5;3.423
2023-11-13;805.0;0.0;5.635;0.0;-5.635
2023-11-20;320.0;700.0;2.24;4.9;2.66
2023-11-27;1165.0;346.0;8.155;2.422;-5.732999999999999
2023-12-04;34.0;1427.0;0.23800000000000002;9.989;9.751000000000001
2023-12-11;600.0;0.0;4.2;0.0;-4.2
2023-12-18;500.0;0.0;3.5;0.0;-3.5
2023-12-25;200.0;0.0;1.4000000000000001;0.0;-1.4000000000000001
2024-01-01;127.0;0.0;0.889;0.0;-0.889
2024-01-08;679.0;679.0;4.753;4.753;0.0
2024-01-15;1000.0;3500.0;7.0;24.5;17.5
2024-01-22;200.0;792.0;1.4000000000000001;5.5440000000000005;4.144
2024-01-29;350.0;0.0;2.45;0.0;-2.45
