Código;Salida_Total;Descripción;Stock_Promedio;Rotacion
CPE-00189;12.0;CAJA DE PASE 100X100X150MM CIEGA (F.G. 1.20);0.5;24.0
CP-00009;2338.0;CAJA DE PASE 100X100X50MM  3/4 (F. G. 0.90);97.86666666666666;23.88964577656676
CPE-00146;53.0;CAJA DE PASE 400X300X150MM CIEGA (F.G. 1.20).;2.2222222222222223;23.849999999999998
CERCD-00002;74.0;CAJA RECTANGULAR CONDUIT 1/2 (ALUMINIO);3.12;23.717948717948715
CPE-00045;215.0;CAJA DE PASE 150X150X75MM CIEGA (F. G. 1.50).;9.333333333333334;23.035714285714285
CPE-00599;181.0;CAJA DE PASE 100X100X75MM CIEGA (F. G. 0.75);7.958333333333333;22.7434554973822
CUC-00007;99.0;"CURVA EMT 40MM/ 1 1/2"" -UL";4.384615384615385;22.57894736842105
CP-00001;19468.0;CAJA DE PASE 100X100X40MM Ø 3/4 (F.G. 0.75);868.2105263157895;22.42313288069835
TPG-00004;32985.0;TAPA UN GANG (F.G. 1.20).;1473.5837988826815;22.3842037521112
CP-00007;40183.0;CAJA DE PASE 100X100X75MM  CIEGA (F. G. 0.80);1801.5697674418604;22.304437344692936
CPE-00078;488.0;CAJA DE PASE 250X250X100MM CIEGA (F. G. 1.20).;22.179310344827588;22.002487562189053
CPE-00436;304.0;CAJA DE PASE 150X150X100MM 3/4 (F.G. 1.50);13.892857142857142;21.881748071979434
ABZ-00004;631.0;"ABRAZADERA UNISTRUT 3/4""  EMT - RIGID";29.458333333333332;21.42008486562942
CP-00030;2426.0;CAJA DE PASE 150X150X100MM CIEGA (F. G. 0.75).;114.01628664495114;21.277661914693027
ABZ-00012;689.0;"ABRAZADERA UNISTRUT 2"" EMT - RIGID";32.607142857142854;21.130339539978095
ABZ-00016;325.0;"ABRAZADERA UNISTRUT  1 1/2"" EMT - RIGID";15.454545454545455;21.02941176470588
CEO 011;2634.0;CAJA OCTOG 100X50MM  3/4 (F.G. 1.50);125.36;21.01148691767709
ABZ-00014;211.0;"ABRAZADERA UNISTRUT 1""";10.047619047619047;21.0
CPE-00409;23.0;CAJA DE PASE 400X400X200MM CIEGA (F. G. 1.20);1.0952380952380953;20.999999999999996
CPE-00035;347.0;CAJA DE PASE 150X150X50MM 3/4 (F. G. 0.90);16.545454545454547;20.97252747252747
CP-00019;1104.0;"CAJA DE PASE 100X100X50MM  1"" (F. G. 0.75).";53.357142857142854;20.690763052208837
UNC-00007;352.0;"UNION EMT 40MM/ 1 1/2"" -UL";17.026315789473685;20.67387944358578
CEO-013;3148.0;CAJA OCTOG 100X55MM 3/4 (F.G 1.50). ZINCADO;155.71875;20.215934176199077
ABZ-00007;885.0;ABRAZADERA FG 2 OREJAS 20MM 3/4;44.52777777777778;19.87523393636931
'7;588.5;PLANCHA GALVANIZADA F°G° 1.15 (1200x2400mm);29.88888888888889;19.689591078066915
PG-00002;289.0;PLANCHA GALVANIZADA F°G° 1.90 (1200x2400mm);14.717948717948717;19.635888501742162
