Semana_Inicio;Ventas_Semanales;Produccion_Semanal;Planchas_Ventas;Planchas_Produccion;Planchas_Gap
2020-12-28;5997.0;112570.0;41.979;787.99;746.011
2021-01-04;1500.0;1500.0;10.5;10.5;0.0
2021-01-18;4600.0;4600.0;32.2;32.2;0.0
2021-01-25;6000.0;3000.0;42.0;21.0;-21.0
2021-02-01;5816.0;1200.0;40.712;8.4;-32.312000000000005
2021-02-08;2618.0;0.0;18.326;0.0;-18.326
2021-02-15;5404.0;0.0;37.828;0.0;-37.828
2021-02-22;2916.0;0.0;20.412;0.0;-20.412
2021-03-01;2096.0;0.0;14.672;0.0;-14.672
2021-03-08;8700.0;8100.0;60.9;56.7;-4.199999999999996
2021-03-22;3100.0;3100.0;21.7;21.7;0.0
2021-03-29;3000.0;3000.0;21.0;21.0;0.0
2021-04-05;5000.0;4000.0;35.0;28.0;-7.0
2021-04-19;7313.0;7250.0;51.191;50.75;-0.4410000000000025
2021-04-26;1500.0;1500.0;10.5;10.5;0.0
2021-05-10;3000.0;3000.0;21.0;21.0;0.0
2021-05-17;1500.0;1500.0;10.5;10.5;0.0
2021-05-24;3500.0;3500.0;24.5;24.5;0.0
2021-05-31;500.0;10614.0;3.5;74.298;70.798
2021-06-07;1500.0;1500.0;10.5;10.5;0.0
2021-06-14;5000.0;5000.0;35.0;35.0;0.0
2021-06-21;3000.0;3000.0;21.0;21.0;0.0
2021-06-28;3950.0;500.0;27.650000000000002;3.5;-24.150000000000002
2021-07-05;4300.0;3500.0;30.1;24.5;-5.600000000000001
2021-07-12;7800.0;6500.0;54.6;45.5;-9.100000000000001
2021-07-19;5400.0;5400.0;37.800000000000004;37.800000000000004;0.0
2021-08-02;6512.0;5000.0;45.584;35.0;-10.584000000000003
2021-08-09;6201.0;4500.0;43.407000000000004;31.5;-11.907000000000004
2021-08-16;4000.0;14384.0;28.0;100.688;72.688
2021-08-23;1334.0;500.0;9.338000000000001;3.5;-5.838000000000001
2021-08-30;2500.0;7000.0;17.5;49.0;31.5
2021-09-06;4200.0;7929.0;29.400000000000002;55.503;26.102999999999998
2021-09-20;10366.0;20732.0;72.562;145.124;72.562
2021-09-27;9005.0;30378.0;63.035000000000004;212.64600000000002;149.61100000000002
