Semana_Inicio;Produccion_Semanal;Planchas_Consumidas;Costo_Planchas
2020-12-28;7031.0;49.217;9923.62371
2021-02-01;4.0;0.028;5.64564
2021-05-17;0.0;0.0;0.0
2021-05-24;0.0;0.0;0.0
2021-05-31;972.0;6.804;1371.89052
2021-06-07;0.0;0.0;0.0
2021-06-14;0.0;0.0;0.0
2021-06-21;0.0;0.0;0.0
2021-07-05;500.0;3.5;705.7049999999999
2021-07-19;400.0;2.8000000000000003;564.5640000000001
2021-08-02;500.0;3.5;705.7049999999999
2021-08-09;300.0;2.1;423.423
2021-08-16;2292.0;16.044;3234.95172
2021-08-23;1686.0;11.802;2379.63726
2021-08-30;0.0;0.0;0.0
2021-09-06;1000.0;7.0;1411.4099999999999
2021-09-20;2176.0;15.232000000000001;3071.22816
2021-09-27;459.0;3.213;647.83719
2021-10-11;0.0;0.0;0.0
2021-10-18;900.0;6.3;1270.269
2021-10-25;5098.0;35.686;7195.3681799999995
2021-11-01;0.0;0.0;0.0
2021-11-08;0.0;0.0;0.0
2021-11-15;1299.0;9.093;1833.42159
2021-11-22;800.0;5.6000000000000005;1129.1280000000002
2021-11-29;0.0;0.0;0.0
2021-12-06;599.0;4.1930000000000005;845.4345900000001
2021-12-13;0.0;0.0;0.0
2021-12-20;0.0;0.0;0.0
2021-12-27;2445.0;17.115000000000002;3450.8974500000004
2022-01-03;900.0;6.3;1270.269
2022-01-10;245.0;1.715;345.79545
2022-01-17;0.0;0.0;0.0
2022-01-24;0.0;0.0;0.0
2022-01-31;6000.0;42.0;8468.46
2022-02-07;4031.0;28.217000000000002;5689.39371
2022-02-14;0.0;0.0;0.0
2022-02-21;0.0;0.0;0.0
2022-02-28;0.0;0.0;0.0
2022-03-07;1300.0;9.1;1834.8329999999999
2022-03-14;2.0;0.014;2.82282
2022-03-21;0.0;0.0;0.0
2022-03-28;1598.0;11.186;2255.43318
2022-04-11;0.0;0.0;0.0
2022-04-18;0.0;0.0;0.0
2022-04-25;13.0;0.091;18.34833
2022-05-09;100.0;0.7000000000000001;141.14100000000002
2022-05-23;2589.0;18.123;3654.14049
2022-05-30;3012.0;21.084;4251.16692
2022-06-06;870.0;6.09;1227.9267
2022-06-13;0.0;0.0;0.0
2022-06-27;0.0;0.0;0.0
2022-07-04;0.0;0.0;0.0
2022-07-11;0.0;0.0;0.0
2022-07-18;0.0;0.0;0.0
2022-07-25;0.0;0.0;0.0
2022-08-01;0.0;0.0;0.0
2022-08-08;0.0;0.0;0.0
2022-08-15;0.0;0.0;0.0
2022-08-22;0.0;0.0;0.0
2022-08-29;2593.0;18.151;3659.78613
2022-09-05;0.0;0.0;0.0
2022-09-12;0.0;0.0;0.0
2022-09-19;0.0;0.0;0.0
2022-09-26;0.0;0.0;0.0
2022-10-10;0.0;0.0;0.0
2022-10-17;0.0;0.0;0.0
2022-10-24;0.0;0.0;0.0
2022-10-31;1314.0;9.198;1854.59274
2022-11-07;0.0;0.0;0.0
2022-11-14;0.0;0.0;0.0
2022-11-21;0.0;0.0;0.0
2022-11-28;0.0;0.0;0.0
2022-12-12;0.0;0.0;0.0
2022-12-19;0.0;0.0;0.0
2022-12-26;0.0;0.0;0.0
2023-02-13;59.0;0.41300000000000003;83.27319
2023-02-20;1977.0;13.839;2790.35757
2023-02-27;0.0;0.0;0.0
2023-03-06;0.0;0.0;0.0
2023-03-13;0.0;0.0;0.0
2023-03-27;4100.0;28.7;5786.781
2023-04-03;872.0;6.104;1230.74952
2023-04-10;0.0;0.0;0.0
2023-04-17;0.0;0.0;0.0
2023-04-24;1645.0;11.515;2321.7694500000002
2023-05-01;0.0;0.0;0.0
2023-05-08;0.0;0.0;0.0
2023-05-15;3827.0;26.789;5401.46607
2023-05-22;0.0;0.0;0.0
2023-05-29;0.0;0.0;0.0
2023-06-05;0.0;0.0;0.0
2023-06-19;0.0;0.0;0.0
2023-06-26;4571.0;31.997;6451.55511
2023-07-03;0.0;0.0;0.0
2023-07-10;1187.0;8.309000000000001;1675.3436700000002
2023-07-17;0.0;0.0;0.0
2023-07-24;0.0;0.0;0.0
2023-07-31;0.0;0.0;0.0
2023-08-07;0.0;0.0;0.0
2023-09-04;0.0;0.0;0.0
2023-09-11;0.0;0.0;0.0
2023-09-18;787.0;5.509;1110.7796700000001
2023-09-25;0.0;0.0;0.0
2023-10-02;1.0;0.007;1.41141
2023-10-09;2401.0;16.807;3388.7954099999997
2023-10-16;0.0;0.0;0.0
2023-10-23;0.0;0.0;0.0
2023-10-30;0.0;0.0;0.0
2023-11-06;500.0;3.5;705.7049999999999
2023-11-13;0.0;0.0;0.0
2023-11-20;700.0;4.9;987.9870000000001
2023-11-27;346.0;2.422;488.34786
2023-12-04;1427.0;9.989;2014.0820700000002
2023-12-11;0.0;0.0;0.0
2023-12-18;0.0;0.0;0.0
2023-12-25;0.0;0.0;0.0
2024-01-01;0.0;0.0;0.0
2024-01-08;679.0;4.753;958.34739
2024-01-15;3500.0;24.5;4939.9349999999995
2024-01-22;792.0;5.5440000000000005;1117.83672
2024-01-29;0.0;0.0;0.0
2024-02-05;48.0;0.336;67.74768
2024-02-12;0.0;0.0;0.0
2024-02-19;0.0;0.0;0.0
2024-02-26;0.0;0.0;0.0
2024-03-04;0.0;0.0;0.0
2024-03-11;0.0;0.0;0.0
2024-03-18;700.0;4.9;987.9870000000001
2024-03-25;9000.0;63.0;12702.69
2024-04-01;0.0;0.0;0.0
2024-04-08;0.0;0.0;0.0
2024-04-15;17.0;0.11900000000000001;23.99397
2024-04-22;2653.0;18.571;3744.47073
2024-05-06;2568.0;17.976;3624.5008799999996
2024-05-13;0.0;0.0;0.0
2024-05-20;0.0;0.0;0.0
2024-05-27;792.0;5.5440000000000005;1117.83672
2024-06-03;0.0;0.0;0.0
2024-06-10;1905.0;13.335;2688.73605
2024-06-24;2580.0;18.06;3641.4377999999997
2024-07-01;0.0;0.0;0.0
2024-07-08;0.0;0.0;0.0
2024-07-15;0.0;0.0;0.0
2024-07-29;0.0;0.0;0.0
2024-08-05;0.0;0.0;0.0
2024-08-12;0.0;0.0;0.0
2024-08-19;481.0;3.367;678.88821
2024-08-26;3894.0;27.258;5496.03054
2024-09-02;0.0;0.0;0.0
2024-09-09;0.0;0.0;0.0
2024-09-16;0.0;0.0;0.0
2024-09-23;307.0;2.149;433.30287
2024-09-30;3074.0;21.518;4338.6743400000005
2024-10-07;0.0;0.0;0.0
2024-10-14;0.0;0.0;0.0
2024-10-21;2062.0;14.434000000000001;2910.32742
2024-10-28;0.0;0.0;0.0
2024-11-04;900.0;6.3;1270.269
2024-11-11;1657.0;11.599;2338.70637
2024-11-18;0.0;0.0;0.0
2024-11-25;44.0;0.308;62.102039999999995
2024-12-02;0.0;0.0;0.0
2024-12-09;150.0;1.05;211.7115
2024-12-16;0.0;0.0;0.0
2024-12-23;0.0;0.0;0.0
2024-12-30;0.0;0.0;0.0
2025-01-06;0.0;0.0;0.0
2025-01-13;2459.0;17.213;3470.65719
2025-01-20;3460.0;24.22;4883.4785999999995
2025-01-27;0.0;0.0;0.0
2025-02-03;0.0;0.0;0.0
2025-02-10;2580.0;18.06;3641.4377999999997
2025-02-17;0.0;0.0;0.0
2025-02-24;0.0;0.0;0.0
2025-03-03;62.0;0.434;87.50742
2025-03-10;0.0;0.0;0.0
2025-03-17;4524.0;31.668;6385.21884
2025-03-24;0.0;0.0;0.0
2025-03-31;0.0;0.0;0.0
2025-04-07;0.0;0.0;0.0
2025-04-14;1500.0;10.5;2117.115
2025-04-21;2118.0;14.826;2989.36638
2025-04-28;4537.0;31.759;6403.56717
2025-05-05;3868.0;27.076;5459.33388
2025-05-12;3815.0;26.705000000000002;5384.52915
2025-05-19;2578.0;18.046;3638.61498
2025-05-26;419.0;2.9330000000000003;591.38079
