Semana_Inicio;Ventas_Semanales;Produccion_Semanal;Stock_Cierre_Semanal
2024-01-08;3989.0;0.0;5028.0
2024-01-15;1750.0;0.0;2599.0
2024-01-22;670.0;0.0;1929.0
2024-01-29;1650.0;4550.0;4829.0
2024-02-05;1585.0;0.0;3244.0
2024-02-12;1264.0;0.0;1980.0
2024-02-19;2392.0;3949.0;3587.0
2024-02-26;1124.0;0.0;2477.0
2024-03-04;426.0;5700.0;7687.0
2024-03-11;1040.0;0.0;6647.0
2024-03-18;700.0;0.0;5947.0
2024-03-25;274.0;0.0;5673.0
2024-04-01;2751.0;1.0;2923.0
2024-04-08;846.0;2350.0;4427.0
2024-04-15;1335.0;4445.0;7537.0
2024-04-22;706.0;0.0;6831.0
2024-04-29;1276.0;0.0;5555.0
2024-05-06;2322.0;2000.0;5233.0
2024-05-13;2327.0;3665.0;6571.0
2024-05-20;1959.0;1000.0;5612.0
2024-05-27;1363.0;6959.0;11208.0
2024-06-03;1500.0;0.0;9708.0
2024-06-10;789.0;5624.0;14543.0
2024-06-17;2273.0;0.0;12270.0
2024-06-24;2740.0;986.0;10516.0
2024-07-01;1719.0;0.0;8797.0
2024-07-08;1100.0;3680.0;11377.0
2024-07-15;1536.0;0.0;10091.0
2024-07-22;1130.0;0.0;8711.0
2024-07-29;1535.0;1808.0;7251.0
2024-08-05;1260.0;0.0;7724.0
2024-08-12;1918.0;0.0;5806.0
2024-08-19;3214.0;7960.0;10552.0
2024-08-26;848.0;0.0;9704.0
2024-09-02;2965.0;0.0;6739.0
2024-09-09;805.0;0.0;5934.0
2024-09-16;1750.0;0.0;4184.0
2024-09-23;1060.0;885.0;4009.0
2024-09-30;1220.0;5637.0;8426.0
2024-10-07;1290.0;0.0;7136.0
2024-10-14;783.0;0.0;6353.0
2024-10-21;1570.0;5650.0;10433.0
2024-10-28;1782.0;0.0;8651.0
2024-11-04;2133.0;0.0;6518.0
2024-11-11;2436.0;0.0;4132.0
2024-11-18;1393.0;9090.0;11779.0
2024-11-25;805.0;0.0;10974.0
2024-12-02;845.0;3403.0;13532.0
2024-12-09;1669.0;0.0;11863.0
2024-12-16;396.0;0.0;11467.0
2024-12-23;1219.0;0.0;10248.0
2024-12-30;619.0;0.0;9679.0
2025-01-06;930.0;0.0;8699.0
2025-01-13;2487.0;0.0;6212.0
2025-01-20;1701.0;0.0;4511.0
2025-01-27;774.0;0.0;3737.0
2025-02-03;1210.0;0.0;2527.0
2025-02-10;806.0;0.0;1771.0
2025-02-17;1450.0;0.0;271.0
2025-02-24;235.0;0.0;36.0
2025-03-03;36.0;0.0;0.0
2025-03-10;2375.0;6662.0;4287.0
2025-03-17;2500.0;2150.0;3937.0
2025-03-24;4445.0;4644.0;4136.0
2025-03-31;719.0;0.0;3417.0
2025-04-07;1420.0;2850.0;4847.0
2025-04-14;600.0;0.0;4247.0
2025-04-21;1161.0;4100.0;6872.0
2025-04-28;406.0;0.0;6780.0
2025-05-05;1565.0;1.0;5216.0
2025-05-12;1343.0;4000.0;7873.0
2025-05-19;776.0;1673.0;8770.0
2025-05-26;2049.0;3162.0;9883.0
