Semana_Inicio;Produccion_Semanal;Planchas_Consumidas;Costo_Planchas
2023-12-11;0.0;0.0;0.0
2023-12-18;0.0;0.0;0.0
2023-12-25;1000.0;7.0;909.6499999999999
2024-01-01;3597.0;25.179000000000002;3272.01105
2024-01-08;0.0;0.0;0.0
2024-01-15;6551.0;45.857;5959.117149999999
2024-01-22;8974.0;62.818;8163.199099999999
2024-01-29;0.0;0.0;0.0
2024-02-05;850.0;5.95;773.2025
2024-02-12;1095.0;7.665;996.06675
2024-02-19;3616.0;25.312;3289.2943999999998
2024-02-26;6309.0;44.163000000000004;5738.98185
2024-03-04;0.0;0.0;0.0
2024-03-11;0.0;0.0;0.0
2024-03-18;700.0;4.9;636.755
2024-03-25;1000.0;7.0;909.6499999999999
2024-04-01;5296.0;37.072;4817.5064
2024-04-08;6456.0;45.192;5872.7004
2024-04-15;2222.0;15.554;2021.2423
2024-04-22;0.0;0.0;0.0
2024-04-29;0.0;0.0;0.0
2024-05-06;0.0;0.0;0.0
2024-05-13;7759.0;54.313;7057.9743499999995
2024-05-20;6483.0;45.381;5897.26095
2024-05-27;2032.0;14.224;1848.4088
2024-06-03;0.0;0.0;0.0
2024-06-10;0.0;0.0;0.0
2024-06-17;6500.0;45.5;5912.724999999999
2024-06-24;0.0;0.0;0.0
2024-07-01;6472.0;45.304;5887.2548
2024-07-08;0.0;0.0;0.0
2024-07-15;0.0;0.0;0.0
2024-07-22;7757.0;54.299;7056.155049999999
2024-07-29;50.0;0.35000000000000003;45.4825
2024-08-05;0.0;0.0;0.0
2024-08-12;0.0;0.0;0.0
2024-08-19;7791.0;54.537;7087.0831499999995
2024-08-26;0.0;0.0;0.0
2024-09-02;6408.0;44.856;5829.0372
2024-09-09;0.0;0.0;0.0
2024-09-16;0.0;0.0;0.0
2024-09-23;537.0;3.759;488.48204999999996
2024-09-30;6435.0;45.045;5853.59775
2024-10-07;0.0;0.0;0.0
2024-10-14;6312.0;44.184;5741.710799999999
2024-10-21;1.0;0.007;0.90965
2024-10-28;0.0;0.0;0.0
2024-11-04;0.0;0.0;0.0
2024-11-11;0.0;0.0;0.0
2024-11-18;7052.0;49.364000000000004;6414.8518
2024-11-25;0.0;0.0;0.0
2024-12-02;9092.0;63.644;8270.537799999998
2024-12-09;0.0;0.0;0.0
2024-12-16;0.0;0.0;0.0
2024-12-23;0.0;0.0;0.0
2024-12-30;0.0;0.0;0.0
2025-01-06;0.0;0.0;0.0
2025-01-13;384.0;2.688;349.30559999999997
2025-01-20;0.0;0.0;0.0
2025-01-27;0.0;0.0;0.0
2025-02-03;0.0;0.0;0.0
2025-02-10;0.0;0.0;0.0
2025-02-17;1.0;0.007;0.90965
2025-02-24;0.0;0.0;0.0
2025-03-03;0.0;0.0;0.0
2025-03-10;3060.0;21.42;2783.529
2025-03-17;7784.0;54.488;7080.7155999999995
2025-03-24;134.0;0.9380000000000001;121.89309999999999
2025-03-31;3500.0;24.5;3183.7749999999996
2025-04-07;3628.0;25.396;3300.2102
2025-04-14;0.0;0.0;0.0
2025-04-21;11220.0;78.54;10206.273
2025-04-28;0.0;0.0;0.0
2025-05-05;0.0;0.0;0.0
2025-05-12;7765.0;54.355000000000004;7063.43225
2025-05-19;0.0;0.0;0.0
2025-05-26;6477.0;45.339;5891.8030499999995
