Semana_Inicio;Ventas_Semanales;Produccion_Semanal;Stock_Cierre_Semanal
2020-12-28;5997.0;112570.0;68948.0
2021-01-04;1500.0;1500.0;106573.0
2021-01-18;4600.0;4600.0;106573.0
2021-01-25;6000.0;3000.0;103573.0
2021-02-01;5816.0;1200.0;98957.0
2021-02-08;2618.0;0.0;96339.0
2021-02-15;5404.0;0.0;90935.0
2021-02-22;2916.0;0.0;88019.0
2021-03-01;2096.0;0.0;85923.0
2021-03-08;8700.0;8100.0;85323.0
2021-03-22;3100.0;3100.0;85223.0
2021-03-29;3000.0;3000.0;85323.0
2021-04-05;5000.0;4000.0;83823.0
2021-04-19;7313.0;7250.0;84260.0
2021-04-26;1500.0;1500.0;84260.0
2021-05-10;3000.0;3000.0;82260.0
2021-05-17;1500.0;1500.0;84260.0
2021-05-24;3500.0;3500.0;84260.0
2021-05-31;500.0;10614.0;93874.0
2021-06-07;1500.0;1500.0;94374.0
2021-06-14;5000.0;5000.0;94374.0
2021-06-21;3000.0;3000.0;94374.0
2021-06-28;3950.0;500.0;90924.0
2021-07-05;4300.0;3500.0;89124.0
2021-07-12;7800.0;6500.0;88824.0
2021-07-19;5400.0;5400.0;88824.0
2021-08-02;6512.0;5000.0;88812.0
2021-08-09;6201.0;4500.0;85611.0
2021-08-16;4000.0;14384.0;95995.0
2021-08-23;1334.0;500.0;95161.0
2021-08-30;2500.0;7000.0;99661.0
2021-09-06;4200.0;7929.0;103390.0
2021-09-20;10366.0;20732.0;113756.0
2021-09-27;9005.0;30378.0;135129.0
2021-10-11;125386.0;2000.0;11743.0
2021-10-18;4546.0;880.0;8077.0
2021-10-25;6632.0;14950.0;16395.0
2021-11-01;7595.0;4500.0;13300.0
2021-11-08;8803.0;6450.0;10947.0
2021-11-15;8488.0;8000.0;10459.0
2021-11-22;8054.0;11910.0;14315.0
2021-11-29;3768.0;1500.0;12047.0
2021-12-06;6051.0;3000.0;8996.0
2021-12-13;7783.0;16063.0;17316.0
2021-12-20;4655.0;3000.0;15621.0
2021-12-27;3502.0;1500.0;13619.0
2022-01-03;6475.0;9450.0;16594.0
2022-01-10;13730.0;6000.0;8864.0
2022-01-17;3170.0;1000.0;6744.0
2022-01-24;3679.0;3966.0;6981.0
2022-01-31;11525.0;13045.0;8501.0
2022-02-07;2647.0;0.0;5854.0
2022-02-14;4316.0;6900.0;8438.0
2022-02-21;3753.0;2000.0;6685.0
2022-02-28;2246.0;10938.0;15377.0
2022-03-07;1175.0;0.0;14202.0
2022-03-14;1862.0;77.0;12417.0
2022-03-21;2679.0;0.0;9738.0
2022-03-28;1559.0;0.0;8179.0
2022-04-04;2725.0;0.0;5454.0
2022-04-11;675.0;2000.0;7079.0
2022-04-18;2605.0;6300.0;10474.0
2022-04-25;3600.0;722.0;7596.0
2022-05-02;1023.0;0.0;6573.0
2022-05-09;1349.0;2500.0;7724.0
2022-05-16;2544.0;5697.0;10877.0
2022-05-23;1175.0;0.0;9702.0
2022-05-30;2689.0;50.0;7063.0
2022-06-06;1865.0;6439.0;11637.0
2022-06-13;1450.0;0.0;10337.0
2022-06-20;3319.0;0.0;6868.0
2022-06-27;2720.0;3000.0;7148.0
2022-07-04;1405.0;3511.0;9254.0
2022-07-11;2136.0;0.0;7118.0
2022-07-18;2150.0;0.0;5568.0
2022-07-25;767.0;0.0;4201.0
2022-08-01;1715.0;0.0;2486.0
2022-08-08;2242.0;0.0;244.0
2022-08-15;1031.0;7750.0;7013.0
2022-08-22;1020.0;315.0;6258.0
2022-08-29;1332.0;0.0;4926.0
2022-09-05;1306.0;6472.0;10092.0
2022-09-12;2149.0;0.0;8543.0
2022-09-19;1090.0;0.0;6853.0
2022-09-26;1012.0;0.0;5841.0
2022-10-03;1908.0;0.0;3933.0
2022-10-10;2530.0;0.0;1403.0
2022-10-17;1450.0;6400.0;6353.0
2022-10-24;2170.0;3872.0;8055.0
2022-10-31;1418.0;0.0;6637.0
2022-11-07;770.0;0.0;5867.0
2022-11-14;1290.0;0.0;4577.0
2022-11-21;1060.0;0.0;3567.0
2022-11-28;736.0;0.0;2791.0
2022-12-05;1172.0;0.0;1609.0
2022-12-12;2788.0;6368.0;5189.0
2022-12-19;1412.0;0.0;3777.0
2022-12-26;1680.0;0.0;2097.0
2023-01-02;1575.0;0.0;522.0
2023-01-09;1625.0;4550.0;3447.0
2023-01-16;2752.0;0.0;695.0
2023-01-23;2841.0;12150.0;10004.0
2023-01-30;1256.0;0.0;8748.0
2023-02-06;1810.0;0.0;7188.0
2023-02-13;4099.0;4672.0;7511.0
2023-02-20;1815.0;1800.0;7496.0
2023-02-27;3815.0;0.0;3681.0
2023-03-06;1531.0;2611.0;4761.0
2023-03-13;1396.0;0.0;3365.0
2023-03-20;980.0;5250.0;7635.0
2023-03-27;1927.0;0.0;5708.0
2023-04-03;2806.0;2500.0;5402.0
2023-04-10;2163.0;3800.0;7039.0
2023-04-17;1697.0;0.0;5342.0
2023-04-24;3517.0;123.0;1948.0
2023-05-01;1065.0;12647.0;2983.0
2023-05-08;3225.0;0.0;11155.0
2023-05-15;2522.0;6479.0;14262.0
2023-05-22;3611.0;0.0;10651.0
2023-05-29;2351.0;6450.0;14750.0
2023-06-05;573.0;0.0;14177.0
2023-06-12;1171.0;6290.0;19296.0
2023-06-19;1775.0;0.0;17521.0
2023-06-26;1277.0;0.0;16244.0
2023-07-03;4650.0;0.0;11694.0
2023-07-10;1654.0;0.0;9940.0
2023-07-17;1876.0;0.0;8064.0
2023-07-24;3356.0;0.0;4858.0
2023-07-31;3236.0;0.0;1472.0
