Semana_Inicio;Ventas_Semanales;Produccion_Semanal;Stock_Cierre_Semanal
2020-12-28;0.0;7031.0;7031.0
2021-02-01;0.0;4.0;7035.0
2021-05-17;110.0;0.0;6925.0
2021-05-24;300.0;0.0;6625.0
2021-05-31;95.0;972.0;7502.0
2021-06-07;600.0;0.0;6902.0
2021-06-14;450.0;0.0;6452.0
2021-06-21;960.0;0.0;5492.0
2021-07-05;1100.0;500.0;4892.0
2021-07-19;1190.0;400.0;4102.0
2021-08-02;500.0;500.0;4102.0
2021-08-09;900.0;300.0;3502.0
2021-08-16;1000.0;2292.0;4794.0
2021-08-23;450.0;1686.0;6030.0
2021-08-30;1.0;0.0;6029.0
2021-09-06;1000.0;1000.0;6029.0
2021-09-20;900.0;2176.0;6805.0
2021-09-27;1800.0;459.0;5964.0
2021-10-11;4915.0;0.0;1049.0
2021-10-18;1700.0;900.0;249.0
2021-10-25;3205.0;5098.0;1142.0
2021-11-01;330.0;0.0;1812.0
2021-11-08;142.0;0.0;1670.0
2021-11-15;988.0;1299.0;1981.0
2021-11-22;1030.0;800.0;1751.0
2021-11-29;6.0;0.0;1745.0
2021-12-06;999.0;599.0;1046.0
2021-12-13;940.0;0.0;405.0
2021-12-20;200.0;0.0;205.0
2021-12-27;1000.0;2445.0;1650.0
2022-01-03;900.0;900.0;1250.0
2022-01-10;516.0;245.0;1379.0
2022-01-17;20.0;0.0;1359.0
2022-01-24;45.0;0.0;1314.0
2022-01-31;4273.0;6000.0;3041.0
2022-02-07;4570.0;4031.0;2502.0
2022-02-14;676.0;0.0;1826.0
2022-02-21;490.0;0.0;1336.0
2022-02-28;10.0;0.0;1326.0
2022-03-07;150.0;1300.0;2476.0
2022-03-14;79.0;2.0;2399.0
2022-03-21;651.0;0.0;1748.0
2022-03-28;1500.0;1598.0;1846.0
2022-04-11;1400.0;0.0;446.0
2022-04-18;12.0;0.0;434.0
2022-04-25;430.0;13.0;17.0
2022-05-09;100.0;100.0;117.0
2022-05-23;1600.0;2589.0;1006.0
2022-05-30;3504.0;3012.0;514.0
2022-06-06;75.0;870.0;1309.0
2022-06-13;204.0;0.0;1105.0
2022-06-27;126.0;0.0;979.0
2022-07-04;150.0;0.0;829.0
2022-07-11;1.0;0.0;828.0
2022-07-18;100.0;0.0;728.0
2022-07-25;100.0;0.0;628.0
2022-08-01;150.0;0.0;478.0
2022-08-08;151.0;0.0;327.0
2022-08-15;300.0;0.0;27.0
2022-08-22;20.0;0.0;7.0
2022-08-29;20.0;2593.0;2580.0
2022-09-05;5.0;0.0;2575.0
2022-09-12;151.0;0.0;2424.0
2022-09-19;50.0;0.0;2374.0
2022-09-26;1.0;0.0;2373.0
2022-10-10;149.0;0.0;2224.0
2022-10-17;210.0;0.0;2014.0
2022-10-24;80.0;0.0;1934.0
2022-10-31;2460.0;1314.0;788.0
2022-11-07;255.0;0.0;733.0
2022-11-14;254.0;0.0;279.0
2022-11-21;50.0;0.0;229.0
2022-11-28;210.0;0.0;19.0
2022-12-12;12.0;0.0;7.0
2022-12-19;5.0;0.0;2.0
2022-12-26;2.0;0.0;0.0
2023-02-13;0.0;59.0;59.0
2023-02-20;837.0;1977.0;1199.0
2023-02-27;707.0;0.0;492.0
2023-03-06;465.0;0.0;27.0
2023-03-13;10.0;0.0;17.0
2023-03-27;100.0;4100.0;2517.0
2023-04-03;26.0;872.0;4863.0
2023-04-10;3450.0;0.0;1413.0
2023-04-17;720.0;0.0;693.0
2023-04-24;1110.0;1645.0;1478.0
2023-05-01;400.0;0.0;828.0
2023-05-08;375.0;0.0;453.0
2023-05-15;520.0;3827.0;3760.0
2023-05-22;1050.0;0.0;2710.0
2023-05-29;1790.0;0.0;920.0
2023-06-05;918.0;0.0;2.0
2023-06-19;2.0;0.0;0.0
2023-06-26;1350.0;4571.0;1821.0
2023-07-03;450.0;0.0;2771.0
2023-07-10;400.0;1187.0;3558.0
2023-07-17;100.0;0.0;3458.0
2023-07-24;65.0;0.0;3393.0
2023-07-31;62.0;0.0;3331.0
2023-08-07;700.0;0.0;2631.0
2023-09-04;50.0;0.0;2581.0
2023-09-11;10.0;0.0;2571.0
2023-09-18;784.0;787.0;2574.0
2023-09-25;506.0;0.0;2068.0
2023-10-02;1280.0;1.0;789.0
2023-10-09;1350.0;2401.0;1940.0
2023-10-16;150.0;0.0;1690.0
2023-10-23;750.0;0.0;940.0
2023-10-30;151.0;0.0;789.0
2023-11-06;11.0;500.0;1278.0
2023-11-13;805.0;0.0;473.0
2023-11-20;320.0;700.0;853.0
2023-11-27;1165.0;346.0;34.0
2023-12-04;34.0;1427.0;1427.0
2023-12-11;600.0;0.0;827.0
2023-12-18;500.0;0.0;327.0
2023-12-25;200.0;0.0;127.0
2024-01-01;127.0;0.0;0.0
2024-01-08;679.0;679.0;200.0
2024-01-15;1000.0;3500.0;2500.0
2024-01-22;200.0;792.0;3092.0
2024-01-29;350.0;0.0;2742.0
2024-02-05;277.0;48.0;2563.0
2024-02-12;300.0;0.0;2213.0
2024-02-19;225.0;0.0;1988.0
2024-02-26;850.0;0.0;1138.0
2024-03-04;215.0;0.0;923.0
2024-03-11;50.0;0.0;873.0
2024-03-18;100.0;700.0;1473.0
2024-03-25;1000.0;9000.0;9473.0
2024-04-01;8502.0;0.0;971.0
2024-04-08;10.0;0.0;961.0
2024-04-15;700.0;17.0;278.0
2024-04-22;1890.0;2653.0;1041.0
2024-05-06;500.0;2568.0;3109.0
2024-05-13;440.0;0.0;2669.0
2024-05-20;1100.0;0.0;1569.0
2024-05-27;450.0;792.0;1119.0
2024-06-03;1237.0;0.0;674.0
2024-06-10;840.0;1905.0;1739.0
2024-06-24;520.0;2580.0;3799.0
2024-07-01;40.0;0.0;3759.0
2024-07-08;700.0;0.0;3059.0
2024-07-15;200.0;0.0;2859.0
2024-07-29;198.0;0.0;2661.0
2024-08-05;35.0;0.0;2626.0
2024-08-12;25.0;0.0;2601.0
2024-08-19;1120.0;481.0;1962.0
2024-08-26;162.0;3894.0;5694.0
2024-09-02;1700.0;0.0;3994.0
2024-09-09;204.0;0.0;3790.0
2024-09-16;1800.0;0.0;1990.0
2024-09-23;850.0;307.0;1447.0
2024-09-30;201.0;3074.0;4246.0
2024-10-07;1350.0;0.0;2970.0
2024-10-14;850.0;0.0;2120.0
2024-10-21;109.0;2062.0;4073.0
2024-10-28;569.0;0.0;3504.0
2024-11-04;1308.0;900.0;3096.0
2024-11-11;369.0;1657.0;4384.0
2024-11-18;65.0;0.0;4319.0
2024-11-25;100.0;44.0;4263.0
2024-12-02;531.0;0.0;3732.0
2024-12-09;1500.0;150.0;2382.0
2024-12-16;460.0;0.0;1922.0
2024-12-23;350.0;0.0;1572.0
2024-12-30;700.0;0.0;872.0
2025-01-06;330.0;0.0;542.0
2025-01-13;1445.0;2459.0;1556.0
2025-01-20;1506.0;3460.0;3510.0
2025-01-27;1200.0;0.0;2310.0
2025-02-03;1350.0;0.0;960.0
2025-02-10;80.0;2580.0;3460.0
2025-02-17;427.0;0.0;3033.0
2025-02-24;1760.0;0.0;1273.0
2025-03-03;1000.0;62.0;335.0
2025-03-10;135.0;0.0;200.0
2025-03-17;1150.0;4524.0;3574.0
2025-03-24;304.0;0.0;3270.0
2025-03-31;710.0;0.0;2560.0
2025-04-07;550.0;0.0;2010.0
2025-04-14;1200.0;1500.0;2310.0
2025-04-21;4134.0;2118.0;294.0
2025-04-28;1165.0;4537.0;3666.0
2025-05-05;3703.0;3868.0;3831.0
2025-05-12;5900.0;3815.0;1746.0
2025-05-19;1055.0;2578.0;3269.0
2025-05-26;641.0;419.0;3047.0
