Semana_Inicio;Produccion_Semanal;Planchas_Consumidas;Costo_Planchas
2020-12-28;112570.0;787.99;102399.3005
2021-01-04;1500.0;10.5;1364.475
2021-01-18;4600.0;32.2;4184.39
2021-01-25;3000.0;21.0;2728.95
2021-02-01;1200.0;8.4;1091.58
2021-02-08;0.0;0.0;0.0
2021-02-15;0.0;0.0;0.0
2021-02-22;0.0;0.0;0.0
2021-03-01;0.0;0.0;0.0
2021-03-08;8100.0;56.7;7368.165
2021-03-22;3100.0;21.7;2819.9149999999995
2021-03-29;3000.0;21.0;2728.95
2021-04-05;4000.0;28.0;3638.5999999999995
2021-04-19;7250.0;50.75;6594.9625
2021-04-26;1500.0;10.5;1364.475
2021-05-10;3000.0;21.0;2728.95
2021-05-17;1500.0;10.5;1364.475
2021-05-24;3500.0;24.5;3183.7749999999996
2021-05-31;10614.0;74.298;9655.025099999999
2021-06-07;1500.0;10.5;1364.475
2021-06-14;5000.0;35.0;4548.25
2021-06-21;3000.0;21.0;2728.95
2021-06-28;500.0;3.5;454.82499999999993
2021-07-05;3500.0;24.5;3183.7749999999996
2021-07-12;6500.0;45.5;5912.724999999999
2021-07-19;5400.0;37.800000000000004;4912.11
2021-08-02;5000.0;35.0;4548.25
2021-08-09;4500.0;31.5;4093.4249999999997
2021-08-16;14384.0;100.688;13084.4056
2021-08-23;500.0;3.5;454.82499999999993
2021-08-30;7000.0;49.0;6367.549999999999
2021-09-06;7929.0;55.503;7212.614849999999
2021-09-20;20732.0;145.124;18858.8638
2021-09-27;30378.0;212.64600000000002;27633.3477
2021-10-11;2000.0;14.0;1819.2999999999997
2021-10-18;880.0;6.16;800.492
2021-10-25;14950.0;104.65;13599.2675
2021-11-01;4500.0;31.5;4093.4249999999997
2021-11-08;6450.0;45.15;5867.242499999999
2021-11-15;8000.0;56.0;7277.199999999999
2021-11-22;11910.0;83.37;10833.931499999999
2021-11-29;1500.0;10.5;1364.475
2021-12-06;3000.0;21.0;2728.95
2021-12-13;16063.0;112.441;14611.707949999998
2021-12-20;3000.0;21.0;2728.95
2021-12-27;1500.0;10.5;1364.475
2022-01-03;9450.0;66.15;8596.1925
2022-01-10;6000.0;42.0;5457.9
2022-01-17;1000.0;7.0;909.6499999999999
2022-01-24;3966.0;27.762;3607.6719
2022-01-31;13045.0;91.315;11866.38425
2022-02-07;0.0;0.0;0.0
2022-02-14;6900.0;48.300000000000004;6276.585
2022-02-21;2000.0;14.0;1819.2999999999997
2022-02-28;10938.0;76.566;9949.751699999999
2022-03-07;0.0;0.0;0.0
2022-03-14;77.0;0.539;70.04305
2022-03-21;0.0;0.0;0.0
2022-03-28;0.0;0.0;0.0
2022-04-04;0.0;0.0;0.0
2022-04-11;2000.0;14.0;1819.2999999999997
2022-04-18;6300.0;44.1;5730.795
2022-04-25;722.0;5.054;656.7673
2022-05-02;0.0;0.0;0.0
2022-05-09;2500.0;17.5;2274.125
2022-05-16;5697.0;39.879;5182.2760499999995
2022-05-23;0.0;0.0;0.0
2022-05-30;50.0;0.35000000000000003;45.4825
2022-06-06;6439.0;45.073;5857.236349999999
