Semana_Inicio;Ventas_Semanales;Produccion_Semanal;Planchas_Ventas;Planchas_Produccion;Planchas_Gap
2023-09-18;1248.0;0.0;8.736;0.0;-8.736
2023-10-02;2345.0;0.0;16.415;0.0;-16.415
2023-10-30;832.0;0.0;5.824;0.0;-5.824
2023-11-20;835.0;0.0;5.845;0.0;-5.845
2023-12-04;1200.0;677.0;8.4;4.739;-3.6610000000000005
2023-12-18;2100.0;2077.0;14.700000000000001;14.539;-0.16100000000000136
2023-12-25;0.0;1969.0;0.0;13.783;13.783
2024-01-01;1000.0;0.0;7.0;0.0;-7.0
2024-01-08;11000.0;10031.0;77.0;70.217;-6.783000000000001
2024-01-15;0.0;700.0;0.0;4.9;4.9
2024-01-22;700.0;0.0;4.9;0.0;-4.9
2024-01-29;2657.0;2657.0;18.599;18.599;0.0
2024-02-19;500.0;500.0;3.5;3.5;0.0
2024-03-11;7620.0;7620.0;53.34;53.34;0.0
2024-04-01;3000.0;3000.0;21.0;21.0;0.0
2024-04-08;2460.0;2969.0;17.22;20.783;3.5630000000000024
2024-04-15;800.0;800.0;5.6000000000000005;5.6000000000000005;0.0
2024-04-29;0.0;1700.0;0.0;11.9;11.9
2024-05-13;800.0;0.0;5.6000000000000005;0.0;-5.6000000000000005
2024-05-20;3276.0;2626.0;22.932000000000002;18.382;-4.550000000000001
2024-06-03;1400.0;1400.0;9.8;9.8;0.0
2024-06-17;200.0;0.0;1.4000000000000001;0.0;-1.4000000000000001
2024-06-24;160.0;0.0;1.12;0.0;-1.12
2024-07-01;0.0;171.0;0.0;1.197;1.197
2024-07-08;1750.0;1750.0;12.25;12.25;0.0
2024-07-29;200.0;0.0;1.4000000000000001;0.0;-1.4000000000000001
2024-08-05;341.0;341.0;2.387;2.387;0.0
2024-08-12;2150.0;2295.0;15.05;16.065;1.0150000000000006
2024-08-19;1.0;173.0;0.007;1.211;1.2040000000000002
2024-09-02;1775.0;1441.0;12.425;10.087;-2.338000000000001
2024-09-16;20.0;75.0;0.14;0.525;0.385
2024-09-23;600.0;600.0;4.2;4.2;0.0
2024-09-30;532.0;287.0;3.724;2.009;-1.7150000000000003
2024-10-07;468.0;2227.0;3.2760000000000002;15.589;12.313
2024-10-21;1000.0;0.0;7.0;0.0;-7.0
2024-10-28;0.0;1781.0;0.0;12.467;12.467
2024-11-11;3334.0;1778.0;23.338;12.446;-10.892000000000001
2024-11-25;1.0;0.0;0.007;0.0;-0.007
2024-12-09;0.0;590.0;0.0;4.13;4.13
2024-12-16;0.0;0.0;0.0;0.0;0.0
2025-01-13;50.0;0.0;0.35000000000000003;0.0;-0.35000000000000003
2025-01-20;1.0;0.0;0.007;0.0;-0.007
2025-02-03;20.0;50.0;0.14;0.35000000000000003;0.21000000000000002
2025-02-17;1000.0;0.0;7.0;0.0;-7.0
2025-02-24;0.0;874.0;0.0;6.118;6.118
2025-03-03;1000.0;0.0;7.0;0.0;-7.0
2025-03-24;0.0;2.0;0.0;0.014;0.014
2025-03-31;580.0;0.0;4.0600000000000005;0.0;-4.0600000000000005
2025-04-21;11.0;0.0;0.077;0.0;-0.077
2025-04-28;1.0;1.0;0.007;0.007;0.0
2025-05-26;300.0;302.0;2.1;2.114;0.01399999999999979
