Código;Num_Transacciones;Salida_Total;Salida_Promedio;Salida_Std;Salida_Min;Salida_Max;Descripción;Acumulado_pct
TP-0007;5;590.0;118.0;114.76062042355818;30.0;300.0;TAPA CIEGA 100X100MM (F.G. 1.50).;98.50373679566313
'7;37;588.5;15.905405405405405;26.242151693897462;0.5;105.0;PLANCHA GALVANIZADA F°G° 1.15 (1200x2400mm);98.51720637568667
CP-00050;149;582.0;3.9060402684563758;4.156307941078259;1.0;20.0;CAJA DE PASE 300X300X100MM CIEGA (F. G. 0.75).;98.5305271837983
COC-00008;30;557.0;18.566666666666666;22.890569257219013;1.0;100.0;"CONECTOR EMT 15MM/  1/2"" -UL";98.54327579224878
SCHU-0027;2;550.0;275.0;70.71067811865476;225.0;325.0;CAJA SCHUKO 130X75X60MM 3/4  (F. G. 1.50);98.55586418479413
TPC-00018;10;550.0;55.0;124.88839462140233;1.0;400.0;TAPA CUADRADA GANG CIEGA 100X100MM (F.G 1.50);98.56845257733949
ABZ-00021;6;534.0;89.0;108.61859877571612;4.0;300.0;"ABRAZADERA UNISTRUT 6"" EMT - RIGID";98.5806747621017
COC-00007;28;529.0;18.892857142857142;25.515919918987233;2.0;115.0;"CONECTOR EMT 40MM/ 1 1/2"" -UL";98.59278250693168
ABZ-00013;7;506.0;72.28571428571429;145.76432380811875;6.0;400.0;"ABRAZADERA UNISTRUT 4"" EMT - RIGID";98.60436382807342
'87;11;503.0;45.72727272727273;56.42356052056784;2.0;141.0;TAPA 150X150MM (F.G.1.50);98.61587648525581
'75;1;500.0;500.0;;500.0;500.0;CAJA DE PASE 150X150X100MM (F.G.0.60);98.62732047847885
ABZ-00032;7;500.0;71.42857142857143;102.19891901394578;4.0;300.0;ABRAZADERA CONDUIT 2 OREJAS 3/4;98.6387644717019
CPE-00078;80;488.0;6.1;5.588414779419601;1.0;27.0;CAJA DE PASE 250X250X100MM CIEGA (F. G. 1.20).;98.6499338090876
CPE-01038;14;484.0;34.57142857142857;49.89175095330703;1.0;150.0;CAJA DE PASE 150X150X75MM (F.G. 0.80);98.66101159452751
CP-00082;15;483.0;32.2;30.062316230504546;1.0;100.0;CAJA DE PASE 150X150X100MM 3/4 (F.G. 1.20).;98.67206649198098
'64;44;470.0;10.681818181818182;19.991594428162223;1.0;100.0;CAJA DE PASE 250X250X100MM (F.G.0.60);98.68282384561064
CPE-00838;2;464.0;232.0;0.0;232.0;232.0;CAJA DE PASE 100X100X150MM 1/2 (F.G. 1.50);98.69344387132163
CPE-00836;2;464.0;232.0;0.0;232.0;232.0;CAJA DE PASE 100X100X150MM 3/4 (F.G. 1.20);98.70406389703263
CPE-00837;2;462.0;231.0;0.0;231.0;231.0;CAJA DE PASE 100X100X150MM 1/2 (F.G. 1.20);98.71463814677072
TPM-00004;2;462.0;231.0;325.2691193458119;1.0;461.0;TAPA CON MARCO 250X250MM (F.G 1.20);98.72521239650882
CPE-00834;4;460.0;115.0;28.867513459481287;90.0;140.0;CAJA DE PASE 100X100X150MM 3/4 (F.G. 1.50);98.73574087027403
'76;2;457.0;228.5;28.991378028648448;208.0;249.0;CAJA DE PASE RECT 100X50X55MM 3/4 (F.G. 1.50);98.7462006800799
COC-00003;14;452.0;32.285714285714285;34.50847960770171;1.0;105.0;"CONECTOR EMT 35MM/ 1 1/4"" -UL";98.75654604995354
UNC-00004;19;448.0;23.57894736842105;24.461570290000427;2.0;90.0;"UNION EMT 50MM/ 2"" -UL";98.76679986788139
ABZ-00001;7;448.0;64.0;45.31372124791048;4.0;100.0;"ABRAZADERA CONDUIT 1 OREJA 1""  EMT";98.77705368580925
CERE-011;2;447.0;223.5;231.22391744800103;60.0;387.0;CAJA RECT 100X50X75MM 3/4 SCHUKO (F.G. 1.50);98.78728461575065
CERE-009;6;434.0;72.33333333333333;122.84570267887545;1.0;320.0;CAJA RECT 100X60X50MM BC 3/4 (F.G. 1.50).;98.79721800186826
CPE-00070;36;433.0;12.027777777777779;9.360970984773843;1.0;38.0;CAJA DE PASE 200X200X150MM CIEGA (F.G. 1.20).;98.80712849999942
CPE-00651;5;432.0;86.4;96.97834809894422;16.0;228.0;CAJA DE PASE 300X100X70MM 3/4 (F. G. 1.20);98.81701611014414
RUNIS-00004;17;430.0;25.294117647058822;73.212673685881;1.0;300.0;RIEL UNISTRUT BAJO RANU 410X210X3000mm (FG. 1.50);98.82685794431596
'65;26;425.0;16.346153846153847;20.04383657425356;1.0;91.0;CAJA DE PASE 300X300X100MM (F.G.0.60);98.83658533855555
CPE-00188;7;425.0;60.714285714285715;64.04871657760283;1.0;150.0;"CAJA DE PASE 150X150X100MM 1"" (F.G. 1.20)";98.84631273279514
CP-00053;76;422.0;5.552631578947368;5.776722800670764;1.0;28.0;CAJA DE PASE 300X300X100MM CIEGA (F. G. 1.20).;98.8559714630754
CPE-00004;5;419.0;83.8;98.09791027335903;8.0;240.0;CAJA GANG 100X100X50MM  3/4 (F. G. 1.50);98.86556152939632
ABZ-00008;9;412.0;45.77777777777778;41.35751980528383;8.0;100.0;ABRAZADERA FG 2 OREJAS 15MM 1/2;98.87499137981212
UNC-00008;25;402.0;16.08;15.542736781746857;2.0;60.0;"UNION EMT 15MM/  1/2"" -UL";98.88419235036343
TBC-00005;19;401.0;21.105263157894736;19.298516744506863;1.0;65.0;"TUBERIA CONDUIT EMT 20MM/ 3/4"" X 3MTS-UL PESADO";98.89337043292832
CPE-00152;2;400.0;200.0;0.0;200.0;200.0;CAJA DE PASE 100X100X40MM  Ø 1/2  (F.G. 0.75);98.90252562750676
CPE-01025;1;400.0;400.0;;400.0;400.0;CAJA DE PASE 100X100X50MM CIEGA HERMETICA / TAPA 90° (F.G. 1.50);98.9116808220852
SCHU-0020;1;393.0;393.0;;393.0;393.0;CAJA SCHUKO 130X71X55MM 3/4 (F. G. 1.50);98.92067580075853
CPE-00027;7;393.0;56.142857142857146;42.009636082802764;6.0;115.0;CAJA DE PASE 100X100X100MM  3/4 (F.G. 1.50).;98.92967077943185
CP-00021;15;390.0;26.0;31.231851873185033;1.0;130.0;"CAJA DE PASE 100X100X50MM  1"" (F. G.1.20).";98.93859709414582
CPE-00041;6;383.0;63.833333333333336;48.20546303757144;5.0;120.0;CAJA DE PASE 150X150X75MM (F. G. 0.90);98.94736319295468
