Código;Stock_Min;Stock_Promedio;Stock_Max;Stock_Std;Num_Registros;Bodega_Principal
CPE-00434;0.0;2.857142857142857;20.0;7.5592894601845435;7;Sin asignar
GECI-00002;0.0;2.857142857142857;20.0;7.559289460184544;7;Sin asignar
GECI-00003;0.0;2.857142857142857;20.0;7.559289460184544;7;Sin asignar
TPTF-00007;0.0;2.857142857142857;20.0;7.559289460184544;7;Sin asignar
CPE-01008;0.0;2.857142857142857;20.0;7.559289460184544;7;Sin asignar
TAB-00003;0.0;2.857142857142857;20.0;7.5592894601845435;7;Sin asignar
TPH-00013;0.0;2.857142857142857;20.0;7.559289460184544;7;Sin asignar
CTF-E-00008;0.0;2.857142857142857;20.0;7.5592894601845435;7;Sin asignar
CPE-00660;0.0;2.857142857142857;20.0;7.559289460184544;7;Sin asignar
VD-00002;0.0;2.857142857142857;20.0;7.559289460184544;7;Sin asignar
CPE-00051;0.0;2.8461538461538463;16.0;5.413657941511664;13;Almacen Central
COC-00017;0.0;2.8333333333333335;10.0;3.6639108100829123;12;Almacen Punto de Ventas 1
ABZ-00029;0.0;2.7777777777777777;15.0;5.65194165260439;9;Sin asignar
TBC-00033;0.0;2.7777777777777777;21.0;6.9602043392737;9;Sin asignar
CPE-00926;0.0;2.7142857142857144;19.0;7.1813249871753175;7;Sin asignar
CPE-00715;0.0;2.7058823529411766;15.0;4.89597673966024;17;Almacen Central
BANR-00022;0.0;2.7;14.4;5.356971425828483;8;Sin asignar
BANR-00035;0.0;2.7;14.4;5.356971425828483;8;Sin asignar
CPE-00031;0.0;2.6923076923076925;10.0;4.385290096535146;13;Sin asignar
'32;0.0;2.6666666666666665;8.0;4.618802153517007;3;Almacen Central
TBC-00023;0.0;2.6666666666666665;22.0;7.280109889280518;9;Sin asignar
'96;0.0;2.6666666666666665;15.0;6.0553007081949835;6;Almacen Central
TBC-00008;-16.0;2.6;40.0;13.699843586176971;15;Almacen Punto de Ventas 1
CPE-00021;0.0;2.5714285714285716;18.0;6.80336051416609;7;Sin asignar
CTF-E-00015;0.0;2.5714285714285716;18.0;6.80336051416609;7;Sin asignar
CPE-00942;0.0;2.5714285714285716;18.0;6.80336051416609;7;Sin asignar
CPE-00541;0.0;2.5714285714285716;18.0;6.80336051416609;7;Sin asignar
TP-0005;0.0;2.5714285714285716;18.0;6.80336051416609;7;Sin asignar
CPE-00520;0.0;2.5714285714285716;18.0;6.80336051416609;7;Sin asignar
CPE-00554;0.0;2.5714285714285716;18.0;6.80336051416609;7;Sin asignar
CPE-00452;0.0;2.5555555555555554;14.0;5.2228132053308;9;Sin asignar
CPE-00396;0.0;2.5454545454545454;14.0;4.80340788115347;11;Almacen Central
CPE-00672;0.0;2.5454545454545454;12.0;4.568667997647375;11;Sin asignar
CR-00074;0.0;2.5;8.0;2.9760952365713798;8;Sin asignar
CPE-00221;0.0;2.4705882352941178;16.0;4.445751441809691;17;Almacen Central
CP-00104;0.0;2.4615384615384617;15.0;4.502136245076416;13;Sin asignar
CERCD-00001;0.0;2.45;18.0;3.5730472522297645;40;Almacen Punto de Ventas 1
'67;0.0;2.4444444444444446;11.0;4.850544070285083;9;Sin asignar
CPE-01045;0.0;2.4444444444444446;8.0;3.711842908553348;9;Sin asignar
CPE-01071;0.0;2.4285714285714284;17.0;6.425396041156863;7;Sin asignar
GA-00067;0.0;2.4285714285714284;17.0;6.425396041156863;7;Sin asignar
PB-00002;0.0;2.4285714285714284;17.0;6.425396041156863;7;Sin asignar
BISG-00002;0.0;2.4285714285714284;17.0;6.425396041156863;7;Sin asignar
PB-00001;0.0;2.4285714285714284;17.0;6.425396041156863;7;Sin asignar
BANR-00012;0.0;2.4285714285714284;17.0;6.425396041156863;7;Sin asignar
TPBC-00009;0.0;2.4285714285714284;17.0;6.425396041156863;7;Sin asignar
TP-0003;0.0;2.4166666666666665;10.0;3.8720051965905524;12;Almacen Central
CPE-00055;0.0;2.4166666666666665;5.0;2.4293034292807376;12;Sin asignar
BANR-00040;0.0;2.4;16.8;6.349803146555018;7;Sin asignar
'70;0.0;2.4;6.0;2.6076809620810595;5;Almacen Central
CPE-00056;0.0;2.3703703703703702;20.0;4.369018092010959;27;Almacen Central
CPE-00110;0.0;2.3636363636363638;10.0;4.177863742936748;11;Sin asignar
CPE-00661;0.0;2.3636363636363638;10.0;4.177863742936748;11;Sin asignar
CPE-00007;0.0;2.3636363636363638;10.0;3.9565825474196106;11;Sin asignar
BANR-00081;0.0;2.3333333333333335;12.0;3.5388994791897552;15;Almacen Punto de Ventas 1
CP-00071;0.0;2.3333333333333335;20.0;3.9422920575049565;33;Almacen Central
PLAF-00002;0.0;2.3333333333333335;7.0;4.041451884327381;3;Almacen Central
TPC-00030;0.0;2.3333333333333335;11.0;4.636809247747852;9;Sin asignar
CPE-00079;0.0;2.32;20.0;4.259499188089292;25;Almacen Central
CPE-01098;0.0;2.2857142857142856;16.0;6.047431568147636;7;Sin asignar
CPE-00946;0.0;2.2857142857142856;16.0;6.047431568147636;7;Sin asignar
TM-00003;0.0;2.2857142857142856;16.0;6.047431568147636;7;Sin asignar
BANR-00021;0.0;2.2857142857142856;16.0;6.047431568147636;7;Sin asignar
GA-00014;0.0;2.2857142857142856;16.0;6.047431568147636;7;Sin asignar
CUC-00004;0.0;2.272727272727273;12.0;4.197401793750727;11;Sin asignar
CPE-00213;0.0;2.235294117647059;10.0;3.8653818013992147;17;Almacen Central
TBC-00021;0.0;2.2222222222222223;15.0;5.068968775248516;9;Sin asignar
CPE-00438;0.0;2.2222222222222223;10.0;3.632415786283895;9;Sin asignar
CPE-00146;0.0;2.2222222222222223;11.0;3.5877283720754103;27;Almacen Central
BANR-00003;0.0;2.2222222222222223;10.0;4.409585518440984;9;Sin asignar
'60;0.0;2.2222222222222223;18.0;5.953523699830583;9;Sin asignar
ABZ-00002;0.0;2.2222222222222223;12.0;4.521553322083512;9;Sin asignar
CCL-00010;0.0;2.2222222222222223;10.0;4.409585518440984;9;Sin asignar
TP-0018;0.0;2.2222222222222223;10.0;3.929942040850532;9;Sin asignar
COC-00005;0.0;2.2;12.0;3.895051806000604;15;Almacen Central
CECCD-00001;0.0;2.1818181818181817;16.0;4.066546020494116;22;Almacen Punto de Ventas 1
CPE-01026;0.0;2.1818181818181817;8.0;3.7367949319753104;11;Sin asignar
TBC-00029;0.0;2.1818181818181817;11.0;4.214692914511847;11;Almacen Punto de Ventas 1
CPE-00138;0.0;2.1578947368421053;22.0;5.252122934741477;19;Almacen Central
BANR-00083;0.0;2.1538461538461537;11.0;4.160251471689219;13;Almacen Punto de Ventas 1
CPE-00704;0.0;2.142857142857143;15.0;5.669467095138408;7;Sin asignar
CPE-01003;0.0;2.142857142857143;15.0;5.669467095138408;7;Sin asignar
TPCH-00001;0.0;2.142857142857143;15.0;5.669467095138408;7;Sin asignar
TP-0016;0.0;2.142857142857143;15.0;5.669467095138408;7;Sin asignar
CCL-00004;0.0;2.1333333333333333;10.0;4.085980677296222;15;Almacen Punto de Ventas 1
CPE-00414;0.0;2.125;11.0;4.155461122770509;8;Sin asignar
GA-00043;0.0;2.090909090909091;10.0;4.011347540529129;11;Almacen Central
CPE-00611;0.0;2.076923076923077;10.0;3.4268921406413924;13;Sin asignar
CPE-00091;0.0;2.076923076923077;10.0;3.7960843523631573;13;Almacen Central
BANL-00012;0.0;2.0571428571428574;14.4;5.442688411332872;7;Sin asignar
CPE-00962;0.0;2.0;14.0;5.2915026221291805;7;Sin asignar
'49;0.0;2.0;15.0;4.9749371855331;9;Sin asignar
CPE-01024;0.0;2.0;14.0;5.2915026221291805;7;Sin asignar
CPE-00234;0.0;2.0;9.0;3.968626966596886;9;Sin asignar
TBC-00034;0.0;2.0;14.0;5.2915026221291805;7;Sin asignar
TBC-00027;0.0;2.0;10.0;4.0;9;Sin asignar
CPE-00693;0.0;2.0;10.0;4.0;9;Sin asignar
CR-00005;0.0;2.0;9.0;3.278719262151;9;Sin asignar
CPE-00039;0.0;2.0;14.0;5.2915026221291805;7;Sin asignar
CP-00061;0.0;2.0;14.0;5.2915026221291805;7;Sin asignar
CPE-00279;0.0;2.0;6.0;3.4641016151377544;3;Almacen Punto de Ventas 1
CPE-00002;0.0;2.0;7.0;3.415650255319866;7;Sin asignar
CPE-00691;0.0;2.0;6.0;2.1213203435596424;9;Sin asignar
CPE-00865;0.0;2.0;6.0;3.0983866769659336;6;Sin asignar
COC-00022;0.0;2.0;10.0;4.0;9;Sin asignar
CPE-00873;0.0;2.0;6.0;2.1081851067789197;10;Sin asignar
