Semana_Inicio;Produccion_Semanal;Planchas_Consumidas;Costo_Planchas
2020-12-28;82302.0;740.718;96256.30409999998
2021-01-04;1450.0;13.049999999999999;1695.8474999999996
2021-01-18;5785.0;52.065;6765.846749999999
2021-02-01;300.0;2.6999999999999997;350.86499999999995
2021-02-08;0.0;0.0;0.0
2021-02-15;0.0;0.0;0.0
2021-02-22;0.0;0.0;0.0
2021-03-01;0.0;0.0;0.0
2021-03-08;1500.0;13.499999999999998;1754.3249999999996
2021-03-15;3500.0;31.499999999999996;4093.4249999999993
2021-03-22;4000.0;36.0;4678.2
2021-03-29;347.0;3.1229999999999998;405.8338499999999
2021-04-12;2000.0;18.0;2339.1
2021-04-19;3500.0;31.499999999999996;4093.4249999999993
2021-04-26;3779.0;34.010999999999996;4419.729449999999
2021-05-10;5000.0;45.0;5847.749999999999
2021-05-17;3500.0;31.499999999999996;4093.4249999999993
2021-05-24;5000.0;45.0;5847.749999999999
2021-05-31;5129.0;46.160999999999994;5998.621949999999
2021-06-07;2000.0;18.0;2339.1
2021-06-14;5500.0;49.49999999999999;6432.524999999999
2021-06-21;4000.0;36.0;4678.2
2021-07-05;1000.0;9.0;1169.55
2021-07-12;1000.0;9.0;1169.55
2021-07-19;4500.0;40.5;5262.974999999999
2021-08-02;2546.0;22.913999999999998;2977.6742999999997
2021-08-09;2000.0;18.0;2339.1
2021-08-16;2000.0;18.0;2339.1
2021-08-23;500.0;4.5;584.775
2021-09-06;3383.0;30.447;3956.5876499999995
2021-09-13;18756.0;168.80399999999997;21936.079799999996
2021-09-20;3500.0;31.499999999999996;4093.4249999999993
2021-09-27;3576.0;32.184;4182.310799999999
2021-10-11;5700.0;51.3;6666.4349999999995
2021-10-18;7765.0;69.88499999999999;9081.555749999998
2021-10-25;1000.0;9.0;1169.55
2021-11-01;500.0;4.5;584.775
2021-11-08;6650.0;59.849999999999994;7777.507499999999
2021-11-15;2000.0;18.0;2339.1
2021-11-22;0.0;0.0;0.0
2021-11-29;2000.0;18.0;2339.1
2021-12-06;7464.0;67.176;8729.5212
2021-12-13;3250.0;29.249999999999996;3801.037499999999
2021-12-20;9316.0;83.844;10895.527799999998
2021-12-27;0.0;0.0;0.0
2022-01-03;3500.0;31.499999999999996;4093.4249999999993
2022-01-10;1900.0;17.099999999999998;2222.1449999999995
2022-01-17;0.0;0.0;0.0
2022-01-24;11336.0;102.02399999999999;13258.018799999998
2022-01-31;0.0;0.0;0.0
2022-02-07;0.0;0.0;0.0
2022-02-14;9000.0;81.0;10525.949999999999
2022-02-21;3800.0;34.199999999999996;4444.289999999999
2022-02-28;2550.0;22.95;2982.3524999999995
2022-03-07;0.0;0.0;0.0
2022-03-14;0.0;0.0;0.0
2022-03-21;4735.0;42.614999999999995;5537.819249999999
2022-03-28;0.0;0.0;0.0
2022-04-04;5645.0;50.80499999999999;6602.109749999999
2022-04-11;0.0;0.0;0.0
2022-04-18;0.0;0.0;0.0
2022-04-25;0.0;0.0;0.0
