Semana_Inicio;Planchas_CER001;Costo_CER001;Planchas_CER005;Costo_CER005;Planchas_CER004;Costo_CER004;Planchas_CERE002;Costo_CERE002;Planchas_CEO001;Costo_CEO001;Planchas_CEO006;Costo_CEO006;Planchas_CER008;Costo_CER008;Planchas_Total;Costo_Total
2021-07-26;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;49.49999999999999;6432.524999999999;0.0;0.0;0.0;0.0;49.49999999999999;6432.524999999999
2021-08-02;35.0;4548.25;17.5;2274.125;3.5;705.7049999999999;0.0;0.0;0.0;0.0;22.913999999999998;2977.6742999999997;4.5;907.335;83.414;11413.0893
2021-08-09;31.5;4093.4249999999997;17.5;2274.125;2.1;423.423;0.0;0.0;15.911999999999999;2067.7643999999996;18.0;2339.1;14.399999999999999;2903.4719999999998;99.412;14101.309399999998
2021-08-16;100.688;13084.4056;33.25;4320.8375;16.044;3234.95172;0.0;0.0;19.520999999999997;2536.7539499999993;18.0;2339.1;0.0;0.0;187.503;25516.048769999998
2021-08-23;3.5;454.82499999999993;86.905;11293.30475;11.802;2379.63726;19.152;3861.61776;22.5;2923.8749999999995;4.5;584.775;0.0;0.0;148.35899999999998;21498.034770000002
2021-08-30;49.0;6367.549999999999;0.0;0.0;0.0;0.0;0.0;0.0;41.120999999999995;5343.6739499999985;0.0;0.0;9.296999999999999;1874.5541099999998;99.41799999999999;13585.778059999997
2021-09-06;55.503;7212.614849999999;25.2;3274.74;7.0;1411.4099999999999;23.8;4798.794;50.26499999999999;6531.936749999999;30.447;3956.5876499999995;0.0;0.0;192.215;27186.083250000003
2021-09-13;0.0;0.0;7.0;909.6499999999999;0.0;0.0;0.0;0.0;117.17099999999999;15226.371449999997;168.80399999999997;21936.079799999996;0.0;0.0;292.97499999999997;38072.10124999999
2021-09-20;145.124;18858.8638;16.205000000000002;2105.83975;15.232000000000001;3071.22816;0.0;0.0;15.470999999999998;2010.4564499999997;31.499999999999996;4093.4249999999993;23.994;4837.91022;247.526;34977.723379999996
2021-09-27;212.64600000000002;27633.3477;59.969;7792.971549999999;3.213;647.83719;0.0;0.0;49.904999999999994;6485.154749999999;32.184;4182.310799999999;11.861999999999998;2391.7350599999995;369.77900000000005;49133.35705
2021-10-04;0.0;0.0;43.498;5652.565099999999;0.0;0.0;14.343;2891.97909;53.99999999999999;7017.299999999998;0.0;0.0;0.0;0.0;111.84099999999998;15561.844189999996
2021-10-11;14.0;1819.2999999999997;14.21;1846.5895;0.0;0.0;0.007;1.41141;73.431;9542.35845;51.3;6666.4349999999995;0.0;0.0;152.94799999999998;19876.09436
2021-10-18;6.16;800.492;16.1;2092.195;6.3;1270.269;21.637;4362.66831;13.499999999999998;1754.3249999999996;69.88499999999999;9081.555749999998;0.8999999999999999;181.46699999999998;134.482;19542.972059999996
2021-10-25;104.65;13599.2675;0.0;0.0;35.686;7195.3681799999995;0.0;0.0;14.85;1929.7574999999997;9.0;1169.55;46.683;9412.69329;210.869;33306.63647
2021-11-01;31.5;4093.4249999999997;80.08;10406.395999999999;0.0;0.0;0.0;0.0;51.687;6716.725649999999;4.5;584.775;0.0;0.0;167.767;21801.321649999998
2021-11-08;45.15;5867.242499999999;10.185;1323.54075;0.0;0.0;0.0;0.0;51.74099999999999;6723.742949999998;59.849999999999994;7777.507499999999;0.0;0.0;166.926;21692.033699999996
2021-11-15;56.0;7277.199999999999;0.0;0.0;9.093;1833.42159;23.541;4746.57183;0.0;0.0;18.0;2339.1;27.836999999999996;5612.774309999999;134.471;21809.06773
2021-11-22;83.37;10833.931499999999;0.0;0.0;5.6000000000000005;1129.1280000000002;0.0;0.0;94.49999999999999;12280.274999999998;0.0;0.0;4.5;907.335;187.96999999999997;25150.669499999996
2021-11-29;10.5;1364.475;104.223;13543.778849999999;0.0;0.0;0.0;0.0;52.461;6817.306949999999;18.0;2339.1;0.0;0.0;185.184;24064.660799999998
2021-12-06;21.0;2728.95;28.0;3638.5999999999995;4.1930000000000005;845.4345900000001;0.0;0.0;101.69999999999999;13215.914999999997;67.176;8729.5212;14.337;2890.7693099999997;236.40599999999995;32049.190099999996
2021-12-13;112.441;14611.707949999998;24.5;3183.7749999999996;0.0;0.0;0.0;0.0;54.602999999999994;7095.659849999999;29.249999999999996;3801.037499999999;0.0;0.0;220.79399999999998;28692.180299999996
2021-12-20;21.0;2728.95;10.5;1364.475;0.0;0.0;12.516;2523.60108;41.138999999999996;5346.013049999999;83.844;10895.527799999998;14.399999999999999;2903.4719999999998;183.399;25762.038929999995
2021-12-27;10.5;1364.475;45.332;5890.8934;17.115000000000002;3450.8974500000004;0.0;0.0;0.0;0.0;0.0;0.0;20.502;4133.81826;93.449;14840.08411
2022-01-03;66.15;8596.1925;17.5;2274.125;6.3;1270.269;4.067;820.02921;31.499999999999996;4093.4249999999993;31.499999999999996;4093.4249999999993;9.0;1814.67;166.017;22962.135710000002
2022-01-10;42.0;5457.9;28.0;3638.5999999999995;1.715;345.79545;17.185;3465.0115499999997;29.186999999999998;3792.8506499999994;17.099999999999998;2222.1449999999995;2.502;504.4782599999999;137.68900000000002;19426.780909999998
2022-01-17;7.0;909.6499999999999;7.0;909.6499999999999;0.0;0.0;35.224000000000004;7102.215120000001;116.55;15145.672499999999;0.0;0.0;0.0;0.0;165.774;24067.187619999997
2022-01-24;27.762;3607.6719;0.0;0.0;0.0;0.0;12.565;2533.4809499999997;25.2;3274.74;102.02399999999999;13258.018799999998;0.0;0.0;167.551;22673.91165
2022-01-31;91.315;11866.38425;0.63;81.8685;42.0;8468.46;0.0;0.0;57.068999999999996;7416.116549999999;0.0;0.0;0.0;0.0;191.01399999999998;27832.829299999998
2022-02-07;0.0;0.0;59.15;7686.5425;28.217000000000002;5689.39371;7.455;1503.15165;0.0;0.0;0.0;0.0;105.10199999999999;21191.716259999997;199.92399999999998;36070.80412
2022-02-14;48.300000000000004;6276.585;69.47500000000001;9028.27625;0.0;0.0;6.538;1318.25694;19.520999999999997;2536.7539499999993;81.0;10525.949999999999;3.2579999999999996;656.9105399999999;228.092;30342.732679999997
